,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_9,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_2,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_7,killsplayer_8,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_3,assistsplayer_8,baron_team100,deathsplayer_10,deathsplayer_3,killsplayer_5,killsplayer_9,riftherald_team200,assistsplayer_4,dragon_team200,killsplayer_0,killsplayer_6,baron_team200,inhibs_lost_team100,ward_player_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200,time
0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1182.0,177.0,488.0,203.0,376.0,113.0,49.0,384.0,136.0,106.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,65.0,0.0,4.0,0.0,0.0,45.0,0.0,0.0,6.0,2.0,1.0,2.0,2.0,2.0,1.0,9.0,7.0,7.0,9.0,6.0,5.0,7.0,7.0,8.0,5.0,0.0,416.0,1607.0,1323.0,0.0,1392.0,2581.0,127.0,2265.0,444.0,57.0,74.0,4.0,75.0,73.0,3.0,39.0,6.0,55.0,12.0,4977.0,1547.0,315.0,887.0,1785.0,604.0,791.0,2276.0,0.0,265.0,1.0,1.0,46324.0,193297.0,193932.0,7727.0,396.0,77512.0,92446.0,20515.0,115606.0,10306.0,600220.0,5828.0,2799.0,2065.0,2604.0,1850.0,2069.0,3373.0,2511.0,2265.0,929.0,5032.0,3752.0,3688.0,3648.0,3576.0,2353.0,2549.0,3459.0,3036.0,2231.0,1.0,10.0,850.0,835.0,143.0,393.0,65.0,72.0,0.0,108.0,0.0,220.0,3.0,5.0,10.0,11.0,4.0,19.0,5.0,3.0,8.0,18.0,100.0,5186.0,3346.0,3584.0,5418.0,3118.0,2324.0,3244.0,3355.0,4124.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11,20,20,69,45,11,5,36,34,4322,5833,212,186,8568,4879,325891,432170,14416,11877,18297,15027,1523,1163,47,39,5,7,19630,16188,10
1,0.0,5.0,1.0,5.0,0.0,0.0,1.0,846.0,725.0,1241.0,840.0,345.0,1687.0,594.0,795.0,1369.0,143.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,1.0,8.0,6.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,6.0,75.0,0.0,329.0,3396.0,159.0,1986.0,1322.0,127.0,2098.0,0.0,68.0,2.0,3.0,80.0,68.0,5.0,74.0,3.0,81.0,53.0,1683.0,3121.0,2028.0,828.0,4297.0,641.0,93.0,3034.0,423.0,1870.0,0.0,1.0,39713.0,17734.0,157309.0,158989.0,15687.0,22192.0,67458.0,101246.0,63786.0,2113.0,600207.0,2243.0,3277.0,2424.0,4225.0,4457.0,3766.0,1510.0,3378.0,2521.0,2110.0,3611.0,3150.0,4131.0,3590.0,4145.0,3487.0,3394.0,3645.0,3819.0,3793.0,1.0,11.0,483.0,155.0,66.0,0.0,0.0,1138.0,95.0,216.0,0.0,240.0,11.0,39.0,3.0,5.0,10.0,32.0,11.0,5.0,6.0,7.0,100.0,4556.0,2536.0,4583.0,4851.0,2720.0,3053.0,4492.0,3435.0,4841.0,3041.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,30,30,81,50,9,7,36,35,5945,3547,224,213,9477,8541,393890,252337,17115,12796,18964,17801,1687,706,61,68,8,9,19763,18345,10
2,0.0,4.0,3.0,1.0,0.0,2.0,2.0,1013.0,897.0,1169.0,1972.0,1287.0,1061.0,767.0,1109.0,865.0,858.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,8.0,6.0,7.0,9.0,6.0,6.0,7.0,7.0,7.0,7.0,185.0,1155.0,746.0,2398.0,0.0,4001.0,145.0,90.0,769.0,1949.0,74.0,21.0,0.0,78.0,74.0,7.0,60.0,12.0,57.0,61.0,5132.0,541.0,448.0,1135.0,3318.0,898.0,894.0,2848.0,687.0,1075.0,2.0,0.0,52518.0,31046.0,103415.0,60111.0,37252.0,111931.0,31292.0,212729.0,6803.0,87590.0,600175.0,5489.0,2011.0,1324.0,3952.0,3318.0,4999.0,1083.0,3150.0,1755.0,3025.0,4438.0,3297.0,3494.0,4682.0,3732.0,3506.0,2667.0,3434.0,2855.0,4183.0,1.0,4.0,171.0,314.0,130.0,418.0,0.0,99.0,43.0,212.0,299.0,0.0,7.0,27.0,32.0,6.0,14.0,23.0,10.0,4.0,6.0,5.0,100.0,4627.0,2856.0,3183.0,5327.0,2987.0,2780.0,3814.0,3576.0,3591.0,3396.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,8,10,30,20,48,52,10,7,36,34,7330,4108,233,211,10931,6045,365227,369460,19082,11024,19852,16436,818,868,82,52,6,9,18904,17233,10
3,0.0,1.0,2.0,2.0,1.0,1.0,2.0,795.0,206.0,220.0,1142.0,1170.0,117.0,349.0,352.0,30.0,211.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,8.0,8.0,5.0,6.0,8.0,7.0,8.0,6.0,3848.0,538.0,0.0,328.0,0.0,1318.0,2134.0,196.0,315.0,0.0,70.0,18.0,4.0,88.0,45.0,9.0,57.0,2.0,78.0,62.0,349.0,744.0,2632.0,2894.0,905.0,736.0,0.0,1463.0,1057.0,4166.0,1.0,1.0,62333.0,19871.0,147838.0,0.0,147206.0,26586.0,78285.0,267562.0,35219.0,8774.0,600164.0,4228.0,1502.0,2728.0,3427.0,1246.0,2572.0,2134.0,1758.0,1449.0,4166.0,3475.0,2956.0,4245.0,3642.0,3045.0,2812.0,2734.0,3602.0,3310.0,3186.0,0.0,11.0,30.0,220.0,96.0,204.0,341.0,517.0,0.0,98.0,76.0,0.0,7.0,21.0,10.0,23.0,8.0,23.0,7.0,17.0,4.0,7.0,100.0,4329.0,3107.0,4187.0,4934.0,2274.0,2790.0,4315.0,3503.0,4537.0,2577.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,6,30,20,68,64,6,4,35,35,5494,3183,216,217,7516,7430,383963,409711,14201,11009,17219,15788,1188,394,71,56,6,5,18514,18039,10
4,1.0,2.0,9.0,8.0,1.0,0.0,1.0,777.0,320.0,2223.0,1319.0,1564.0,417.0,1296.0,6.0,1113.0,94.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,6.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,76.0,0.0,4.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,8.0,6.0,7.0,8.0,7.0,6.0,8.0,8.0,7.0,5.0,1075.0,1043.0,2393.0,2402.0,780.0,2437.0,1161.0,0.0,1457.0,0.0,57.0,14.0,7.0,59.0,65.0,3.0,63.0,12.0,54.0,48.0,4772.0,830.0,491.0,685.0,3816.0,469.0,2339.0,264.0,1137.0,4493.0,1.0,0.0,198618.0,56680.0,64277.0,23360.0,9313.0,75508.0,150490.0,133058.0,16020.0,22136.0,600157.0,5992.0,2067.0,3139.0,3388.0,4596.0,3205.0,3500.0,340.0,3091.0,4493.0,3077.0,3020.0,3823.0,3789.0,4889.0,4242.0,4146.0,3916.0,2828.0,3494.0,5.0,10.0,144.0,194.0,255.0,300.0,0.0,298.0,0.0,76.0,496.0,0.0,8.0,29.0,11.0,46.0,9.0,35.0,8.0,75.0,15.0,15.0,100.0,4153.0,2480.0,3367.0,4062.0,3376.0,2696.0,4520.0,4506.0,3905.0,2337.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5,13,30,20,39,80,13,5,36,34,9087,3661,191,191,10233,9063,371076,378384,20320,13491,19820,17404,997,766,109,142,20,5,17654,17748,10
5,1.0,5.0,2.0,2.0,1.0,3.0,2.0,445.0,236.0,805.0,537.0,422.0,313.0,650.0,269.0,135.0,323.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,58.0,0.0,4.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,7.0,5.0,7.0,8.0,7.0,4.0,8.0,7.0,8.0,7.0,1171.0,2000.0,0.0,1414.0,399.0,1494.0,3111.0,321.0,0.0,0.0,59.0,12.0,7.0,67.0,76.0,15.0,67.0,0.0,59.0,67.0,990.0,1107.0,2484.0,360.0,3047.0,242.0,2511.0,1974.0,1279.0,5073.0,1.0,0.0,101130.0,73600.0,92336.0,13545.0,6276.0,27125.0,15759.0,74981.0,5682.0,9942.0,600163.0,2162.0,3247.0,2580.0,2505.0,3447.0,1910.0,5663.0,2326.0,1347.0,5073.0,3020.0,3611.0,3930.0,3817.0,3247.0,2413.0,3000.0,3509.0,3765.0,4523.0,7.0,6.0,0.0,140.0,96.0,730.0,0.0,174.0,40.0,30.0,68.0,0.0,31.0,22.0,2.0,14.0,12.0,46.0,5.0,12.0,13.0,12.0,200.0,3958.0,2370.0,3716.0,4310.0,3506.0,1680.0,4331.0,3292.0,4080.0,3955.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,10,7,20,20,51,62,7,10,33,35,4478,5432,224,205,7123,11944,240412,179964,12604,17656,16427,18408,1000,278,105,64,8,12,17170,18028,10
6,1.0,5.0,1.0,3.0,1.0,5.0,4.0,1560.0,954.0,1396.0,57.0,1520.0,509.0,403.0,186.0,1002.0,540.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,8.0,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,7.0,43.0,1734.0,521.0,1549.0,330.0,1407.0,332.0,1380.0,2824.0,567.0,75.0,2.0,19.0,40.0,74.0,4.0,25.0,9.0,72.0,62.0,4304.0,734.0,2385.0,1345.0,3032.0,527.0,4028.0,795.0,0.0,3282.0,1.0,1.0,9747.0,33735.0,200254.0,16382.0,0.0,38626.0,42420.0,127875.0,30028.0,58337.0,600192.0,4348.0,2698.0,3167.0,3507.0,3362.0,1935.0,5197.0,3013.0,2824.0,3849.0,4660.0,3629.0,3831.0,2657.0,3870.0,2559.0,2803.0,4486.0,3792.0,4065.0,2.0,9.0,0.0,230.0,261.0,613.0,0.0,0.0,837.0,838.0,0.0,0.0,10.0,25.0,17.0,13.0,5.0,39.0,8.0,4.0,13.0,10.0,100.0,4487.0,2468.0,4011.0,2805.0,4161.0,2065.0,2785.0,3924.0,4557.0,3504.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,13.0,13,8,30,30,44,58,8,13,34,34,3850,6837,212,170,11593,8839,265009,292395,16319,17581,17577,18775,874,1905,84,60,6,16,17529,17238,10
7,1.0,3.0,0.0,4.0,1.0,1.0,1.0,678.0,48.0,1298.0,86.0,147.0,52.0,592.0,1040.0,456.0,777.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,58.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,7.0,6.0,6.0,8.0,7.0,5.0,7.0,7.0,8.0,7.0,898.0,735.0,1313.0,547.0,144.0,913.0,273.0,271.0,2222.0,538.0,61.0,9.0,4.0,78.0,52.0,19.0,57.0,0.0,74.0,74.0,2068.0,909.0,241.0,1383.0,3190.0,555.0,1627.0,1955.0,915.0,1581.0,0.0,1.0,9250.0,30102.0,140404.0,41044.0,171686.0,23725.0,35617.0,254690.0,32474.0,0.0,600116.0,3108.0,2200.0,2230.0,2247.0,3498.0,1708.0,2294.0,2352.0,3137.0,2119.0,3528.0,2998.0,3333.0,3361.0,3972.0,2557.0,2852.0,3380.0,4146.0,3877.0,2.0,2.0,142.0,555.0,675.0,316.0,163.0,240.0,393.0,126.0,0.0,0.0,6.0,29.0,4.0,9.0,9.0,24.0,9.0,12.0,13.0,7.0,100.0,3900.0,2415.0,3099.0,4483.0,3292.0,2211.0,3802.0,3222.0,4506.0,3700.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6,7,20,20,47,62,7,6,33,35,3815,4039,214,214,7437,6987,386109,352883,12791,12102,16751,17253,1536,1074,52,70,7,7,16985,17645,10
8,4.0,5.0,1.0,3.0,0.0,2.0,2.0,592.0,675.0,933.0,1173.0,802.0,275.0,12.0,904.0,121.0,888.0,0.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,4.0,0.0,0.0,64.0,0.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,8.0,6.0,7.0,8.0,7.0,5.0,7.0,8.0,8.0,7.0,530.0,513.0,220.0,626.0,78.0,2285.0,580.0,77.0,1109.0,0.0,69.0,17.0,2.0,71.0,59.0,12.0,50.0,14.0,66.0,78.0,2961.0,503.0,2018.0,87.0,964.0,218.0,2899.0,1536.0,39.0,3879.0,1.0,1.0,38798.0,17471.0,169995.0,2840.0,2742.0,27214.0,95400.0,82546.0,53133.0,5615.0,600170.0,3491.0,1210.0,2342.0,951.0,1042.0,2591.0,4138.0,1837.0,1149.0,3879.0,3642.0,2950.0,4108.0,3333.0,2852.0,2175.0,2932.0,3539.0,3881.0,4463.0,10.0,4.0,0.0,194.0,102.0,238.0,0.0,88.0,657.0,224.0,0.0,0.0,10.0,36.0,4.0,12.0,10.0,32.0,11.0,5.0,5.0,10.0,200.0,4527.0,2991.0,3354.0,4208.0,3266.0,1977.0,3539.0,4739.0,4184.0,3632.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,8,5,20,30,56,68,5,8,35,36,3739,2279,213,225,6248,8856,241589,254165,10417,12213,16110,17765,428,1075,68,67,9,9,17332,19085,10
9,0.0,5.0,0.0,1.0,1.0,3.0,4.0,216.0,126.0,285.0,1869.0,791.0,360.0,1717.0,479.0,482.0,398.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,5.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,213.0,1344.0,0.0,2611.0,345.0,562.0,222.0,2290.0,330.0,217.0,64.0,15.0,1.0,76.0,85.0,16.0,91.0,7.0,46.0,56.0,3299.0,407.0,2274.0,454.0,1655.0,434.0,4118.0,88.0,6374.0,3206.0,1.0,0.0,9457.0,10323.0,118883.0,12389.0,0.0,27439.0,66347.0,252927.0,29551.0,3007.0,600155.0,3513.0,1898.0,2368.0,3406.0,2001.0,1354.0,4340.0,2492.0,7014.0,3424.0,2741.0,2751.0,3185.0,4034.0,3516.0,2335.0,4292.0,4354.0,4292.0,3248.0,9.0,3.0,0.0,146.0,94.0,340.0,0.0,357.0,0.0,113.0,310.0,0.0,125.0,42.0,3.0,9.0,12.0,54.0,16.0,3.0,3.0,15.0,200.0,4128.0,3015.0,2954.0,4533.0,3095.0,2846.0,4700.0,4353.0,4305.0,2870.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,12,3,30,30,48,60,3,12,34,36,3731,4403,242,215,8116,14193,168168,362155,12642,19168,15811,18937,791,569,203,79,3,14,17556,19243,10
10,2.0,5.0,3.0,7.0,1.0,3.0,0.0,468.0,561.0,1345.0,196.0,681.0,430.0,561.0,606.0,238.0,58.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,56.0,0.0,8.0,0.0,1.0,1.0,0.0,6.0,3.0,3.0,7.0,5.0,7.0,7.0,6.0,6.0,8.0,6.0,8.0,6.0,592.0,346.0,235.0,1157.0,686.0,1412.0,232.0,1104.0,1876.0,77.0,51.0,16.0,11.0,50.0,72.0,11.0,73.0,1.0,57.0,50.0,380.0,984.0,2075.0,605.0,4269.0,102.0,1887.0,932.0,1129.0,2364.0,0.0,0.0,87860.0,15890.0,77994.0,7431.0,0.0,19919.0,72680.0,261140.0,11298.0,27385.0,600230.0,973.0,1424.0,2311.0,1762.0,4956.0,1774.0,2634.0,2404.0,3761.0,2441.0,2643.0,2857.0,3455.0,2676.0,5381.0,2605.0,3086.0,4001.0,3748.0,3808.0,11.0,1.0,0.0,94.0,0.0,0.0,0.0,260.0,514.0,366.0,755.0,0.0,6.0,26.0,4.0,7.0,8.0,27.0,7.0,10.0,11.0,6.0,200.0,3686.0,2120.0,3614.0,3339.0,3115.0,2482.0,4244.0,3177.0,4287.0,2521.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,9,7,20,20,44,64,7,9,33,33,4082,3635,195,197,7431,7296,193204,388393,11776,12664,16760,17500,260,1729,52,60,15,12,16236,16349,10
11,1.0,2.0,3.0,4.0,0.0,2.0,1.0,763.0,-137.0,439.0,257.0,711.0,155.0,412.0,728.0,376.0,1802.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,3.0,8.0,4.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,7.0,2303.0,785.0,443.0,375.0,733.0,0.0,145.0,0.0,3001.0,0.0,67.0,1.0,6.0,56.0,66.0,26.0,76.0,1.0,53.0,77.0,468.0,342.0,2517.0,5613.0,233.0,1780.0,1871.0,3337.0,1102.0,1476.0,1.0,0.0,21551.0,24428.0,37443.0,28916.0,48915.0,30730.0,73267.0,99651.0,129325.0,20123.0,600226.0,2962.0,1576.0,3272.0,6184.0,1021.0,2027.0,2407.0,3337.0,4431.0,1476.0,3013.0,2113.0,3989.0,4212.0,3311.0,3690.0,3662.0,3553.0,3846.0,3837.0,10.0,2.0,190.0,448.0,311.0,196.0,54.0,246.0,391.0,0.0,328.0,0.0,5.0,44.0,2.0,11.0,11.0,48.0,8.0,12.0,9.0,55.0,200.0,4413.0,1399.0,3572.0,3736.0,3509.0,2939.0,4989.0,3742.0,4079.0,4014.0,3.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,7,10,30,20,50,61,10,7,35,34,3854,3931,221,208,10611,8128,167555,346794,15466,13227,18215,17011,997,1167,77,128,14,6,18169,18223,10
12,3.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,178.0,582.0,1203.0,413.0,267.0,52.0,1376.0,82.0,438.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0,6.0,7.0,8.0,7.0,6.0,8.0,7.0,8.0,6.0,73.0,424.0,997.0,1936.0,0.0,217.0,700.0,174.0,424.0,0.0,50.0,20.0,6.0,83.0,85.0,16.0,69.0,7.0,81.0,73.0,1748.0,121.0,478.0,0.0,1663.0,344.0,4750.0,1041.0,90.0,707.0,0.0,1.0,5748.0,6912.0,170106.0,40263.0,10736.0,5549.0,0.0,143729.0,263708.0,115071.0,600166.0,1821.0,843.0,2029.0,1936.0,1663.0,634.0,5749.0,1304.0,514.0,707.0,2954.0,2203.0,4307.0,3483.0,3838.0,2502.0,4127.0,3751.0,3082.0,2988.0,7.0,1.0,0.0,297.0,553.0,0.0,0.0,72.0,298.0,88.0,0.0,0.0,82.0,38.0,3.0,9.0,10.0,67.0,17.0,7.0,12.0,9.0,200.0,3706.0,2620.0,3838.0,4740.0,3262.0,2527.0,4703.0,3700.0,4723.0,2726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,4,5,30,30,64,55,5,4,35,35,3223,1722,240,250,4233,6709,232402,529420,8083,9117,17084,16151,625,683,171,83,5,3,18073,18472,10
