,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_7,killsplayer_8,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_4,baron_team100,deathsplayer_10,killsplayer_6,killsplayer_9,riftherald_team200,dragon_team200,killsplayer_0,baron_team200,inhibs_lost_team100,ward_player_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200,time
0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,5.0,649.0,1018.0,760.0,679.0,289.0,618.0,4.0,228.0,187.0,134.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,3.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,0.0,4.0,89.0,0.0,8.0,0.0,0.0,77.0,0.0,0.0,7.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,11.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,7.0,0.0,900.0,4551.0,4124.0,0.0,3127.0,4058.0,127.0,4359.0,1661.0,102.0,118.0,7.0,106.0,122.0,5.0,76.0,20.0,78.0,18.0,7180.0,2310.0,512.0,1538.0,2812.0,784.0,994.0,3761.0,107.0,431.0,1.0,1.0,133684.0,306653.0,215470.0,12549.0,1155.0,121113.0,157154.0,56416.0,161320.0,33889.0,900290.0,8434.0,4645.0,5283.0,6874.0,3149.0,4271.0,5052.0,4210.0,4467.0,2313.0,7974.0,5843.0,6075.0,6134.0,6464.0,4408.0,4004.0,5628.0,4327.0,3185.0,1.0,10.0,1253.0,1434.0,219.0,1211.0,337.0,358.0,0.0,322.0,0.0,220.0,3.0,5.0,10.0,11.0,4.0,19.0,5.0,3.0,8.0,18.0,100.0,7956.0,5541.0,6127.0,8232.0,5422.0,4222.0,5260.0,6430.0,5849.0,3897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,18,30,30,97,81,18,7,49,44,11802,11105,342,310,12826,7603,483971,715432,28011,20687,31055,22987,3378,1976,47,39,9,11,31959,26977,15
1,3.0,7.0,3.0,7.0,11.0,0.0,1.0,3.0,2.0,863.0,219.0,336.0,2008.0,130.0,1127.0,323.0,131.0,147.0,274.0,0.0,2.0,2.0,5.0,2.0,4.0,6.0,3.0,5.0,3.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,58.0,4.0,4.0,6.0,1.0,4.0,3.0,6.0,6.0,3.0,2.0,10.0,7.0,11.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,239.0,0.0,485.0,8564.0,217.0,5744.0,5191.0,166.0,4411.0,0.0,89.0,3.0,12.0,120.0,106.0,10.0,99.0,4.0,112.0,76.0,3796.0,8999.0,4460.0,1280.0,8669.0,1431.0,394.0,4750.0,606.0,4216.0,0.0,1.0,80350.0,31872.0,188790.0,283420.0,17867.0,48983.0,109969.0,113766.0,100788.0,4028.0,900309.0,5341.0,9391.0,5156.0,9844.0,8887.0,9074.0,6249.0,5321.0,5017.0,4736.0,6228.0,4869.0,6659.0,6533.0,7740.0,7127.0,5708.0,4581.0,6292.0,5474.0,1.0,11.0,1304.0,392.0,210.0,0.0,0.0,1898.0,663.0,405.0,0.0,519.0,11.0,39.0,3.0,5.0,10.0,32.0,11.0,5.0,6.0,7.0,100.0,6664.0,3844.0,7841.0,7779.0,5969.0,5756.0,6509.0,4236.0,6730.0,4674.0,4.0,1.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11,25,30,30,113,66,25,11,50,43,15249,9768,337,294,19636,18965,619410,360423,38302,30714,34287,26924,3412,1979,61,68,28,13,34009,25993,15
2,1.0,6.0,4.0,0.0,4.0,0.0,2.0,2.0,4.0,2741.0,36.0,-90.0,454.0,1106.0,651.0,815.0,1653.0,283.0,607.0,0.0,0.0,2.0,5.0,4.0,6.0,2.0,2.0,3.0,0.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,72.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,6.0,3.0,0.0,4.0,4.0,3.0,2.0,0.0,11.0,8.0,8.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,185.0,2444.0,1111.0,4759.0,368.0,5989.0,341.0,178.0,1396.0,5123.0,117.0,33.0,2.0,116.0,104.0,40.0,88.0,24.0,114.0,107.0,10471.0,821.0,448.0,1339.0,6921.0,1130.0,1225.0,4618.0,733.0,1396.0,2.0,0.0,90071.0,47658.0,152032.0,65032.0,72860.0,202392.0,48763.0,297836.0,15061.0,120688.0,900264.0,11204.0,3660.0,1689.0,6747.0,7416.0,7293.0,1621.0,5168.0,2876.0,6519.0,8091.0,4836.0,4875.0,6474.0,6391.0,5426.0,4230.0,6053.0,4803.0,6582.0,1.0,4.0,547.0,394.0,130.0,648.0,126.0,174.0,54.0,372.0,746.0,0.0,7.0,27.0,32.0,6.0,14.0,23.0,10.0,4.0,6.0,5.0,100.0,7796.0,4911.0,4919.0,7645.0,5183.0,5117.0,5327.0,6910.0,6703.0,5841.0,3.0,1.0,4.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,11,17,30,30,76,96,17,10,48,46,12412,9482,379,366,20309,8793,582387,530006,34349,19844,31257,26504,1625,1566,82,52,12,14,30660,29692,15
3,1.0,2.0,3.0,4.0,5.0,2.0,3.0,0.0,2.0,219.0,841.0,2474.0,179.0,328.0,310.0,667.0,5.0,400.0,236.0,3.0,0.0,1.0,4.0,0.0,1.0,4.0,3.0,5.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,84.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,4.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,10.0,8.0,10.0,11.0,7.0,9.0,10.0,10.0,9.0,8.0,8419.0,1185.0,0.0,589.0,0.0,3074.0,3509.0,325.0,499.0,398.0,84.0,32.0,17.0,140.0,66.0,20.0,96.0,8.0,109.0,89.0,482.0,744.0,6523.0,4997.0,1484.0,1000.0,0.0,3123.0,1665.0,8409.0,1.0,1.0,85558.0,36090.0,189888.0,0.0,200241.0,41648.0,161260.0,366515.0,58277.0,13860.0,900223.0,9241.0,2149.0,7053.0,5840.0,1895.0,5243.0,3509.0,3613.0,2285.0,8808.0,6089.0,4541.0,7374.0,7299.0,4663.0,4635.0,4717.0,5740.0,4480.0,5161.0,0.0,11.0,340.0,220.0,530.0,254.0,411.0,1168.0,0.0,164.0,120.0,0.0,7.0,21.0,10.0,23.0,8.0,23.0,7.0,17.0,4.0,7.0,100.0,6851.0,4415.0,6578.0,8242.0,4020.0,5304.0,6811.0,6388.0,5959.0,4281.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,30,30,88,96,15,8,47,45,12082,5916,327,334,14486,13941,517335,636002,29272,20364,30060,24639,2703,504,71,56,16,9,30995,27854,15
4,3.0,5.0,10.0,0.0,11.0,1.0,1.0,2.0,2.0,1309.0,1047.0,806.0,829.0,516.0,213.0,582.0,665.0,938.0,215.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,5.0,8.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,58.0,0.0,4.0,4.0,0.0,108.0,0.0,4.0,2.0,2.0,3.0,4.0,7.0,2.0,1.0,2.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,1608.0,1508.0,4424.0,3680.0,1096.0,4527.0,1694.0,0.0,3155.0,0.0,91.0,24.0,10.0,98.0,112.0,6.0,108.0,27.0,86.0,95.0,6709.0,1042.0,686.0,863.0,6811.0,543.0,3008.0,1570.0,1951.0,8561.0,1.0,0.0,352537.0,104355.0,107983.0,53134.0,14960.0,107981.0,284330.0,192467.0,29529.0,52267.0,900231.0,8696.0,2811.0,5592.0,5142.0,8383.0,5559.0,4703.0,1822.0,6173.0,8615.0,5419.0,4353.0,5681.0,5199.0,7566.0,5398.0,5882.0,6100.0,5303.0,7135.0,5.0,10.0,378.0,261.0,481.0,598.0,476.0,488.0,0.0,252.0,1066.0,54.0,8.0,29.0,11.0,46.0,9.0,35.0,8.0,75.0,15.0,15.0,100.0,7028.0,4710.0,5522.0,6471.0,5919.0,4427.0,6592.0,7291.0,6285.0,5285.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,11,18,30,30,74,112,18,11,46,47,15335,6357,317,340,15612,16132,636595,662948,33372,24124,29263,28773,2421,1633,109,142,28,11,29367,30163,15
5,3.0,8.0,5.0,3.0,5.0,1.0,6.0,1.0,3.0,1485.0,258.0,384.0,741.0,205.0,333.0,1332.0,560.0,399.0,47.0,2.0,3.0,1.0,3.0,7.0,3.0,5.0,1.0,5.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,79.0,0.0,4.0,0.0,4.0,7.0,6.0,2.0,2.0,1.0,5.0,11.0,7.0,10.0,11.0,9.0,7.0,10.0,9.0,10.0,10.0,2814.0,3950.0,0.0,4325.0,625.0,3057.0,4950.0,388.0,26.0,305.0,108.0,12.0,11.0,113.0,118.0,23.0,98.0,7.0,95.0,101.0,1920.0,1690.0,7378.0,686.0,5765.0,385.0,3073.0,3872.0,3145.0,8464.0,1.0,0.0,306432.0,125244.0,125338.0,57971.0,8557.0,43741.0,21080.0,91499.0,10306.0,17903.0,900277.0,4734.0,5951.0,7734.0,6452.0,6390.0,3753.0,8064.0,4560.0,3532.0,8835.0,5310.0,4858.0,7059.0,7416.0,5495.0,3918.0,4732.0,5350.0,6204.0,6682.0,7.0,6.0,0.0,310.0,355.0,1440.0,0.0,310.0,40.0,300.0,360.0,66.0,31.0,22.0,2.0,14.0,12.0,46.0,5.0,12.0,13.0,12.0,200.0,7371.0,3194.0,6719.0,8394.0,5829.0,3456.0,7061.0,5570.0,6533.0,6265.0,5.0,0.0,3.0,1.0,5.0,1.0,3.0,0.0,1.0,1.0,0.0,16,17,30,20,78,83,17,16,48,46,10821,9619,373,313,16134,20244,542039,266032,29063,30942,29198,27826,2105,1076,105,64,21,19,31769,28623,15
6,4.0,6.0,2.0,1.0,7.0,1.0,6.0,1.0,6.0,97.0,258.0,421.0,2178.0,21.0,92.0,352.0,409.0,393.0,347.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,92.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,0.0,3.0,3.0,10.0,7.0,10.0,9.0,10.0,6.0,8.0,9.0,11.0,9.0,268.0,2853.0,768.0,2455.0,343.0,2038.0,368.0,2246.0,3841.0,1149.0,106.0,6.0,25.0,84.0,112.0,7.0,52.0,14.0,107.0,106.0,7172.0,777.0,4615.0,1790.0,4605.0,719.0,5061.0,872.0,0.0,5091.0,1.0,1.0,17676.0,36246.0,245779.0,53845.0,0.0,67031.0,81275.0,201127.0,42318.0,128436.0,900317.0,7440.0,4050.0,5750.0,5690.0,5132.0,2757.0,6706.0,4557.0,3841.0,6240.0,6522.0,4723.0,7156.0,4808.0,5471.0,3917.0,4402.0,6179.0,5393.0,6112.0,2.0,9.0,0.0,420.0,367.0,1444.0,183.0,0.0,1276.0,1438.0,0.0,0.0,10.0,25.0,17.0,13.0,5.0,39.0,8.0,4.0,13.0,10.0,100.0,6603.0,3833.0,6536.0,5742.0,6399.0,3012.0,4584.0,6027.0,7300.0,5962.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,15,12,30,30,72,98,12,15,45,44,5872,10457,334,285,18901,11801,384331,489402,26769,25394,27874,26809,1994,3134,84,60,17,20,28292,27706,15
7,2.0,6.0,4.0,4.0,10.0,6.0,2.0,2.0,1.0,169.0,217.0,794.0,1038.0,985.0,478.0,826.0,169.0,142.0,200.0,4.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,7.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,2.0,0.0,4.0,84.0,4.0,0.0,2.0,1.0,6.0,2.0,6.0,0.0,4.0,2.0,9.0,7.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,1469.0,1914.0,5000.0,1134.0,597.0,1594.0,562.0,846.0,4530.0,1628.0,73.0,12.0,7.0,121.0,97.0,24.0,87.0,7.0,97.0,92.0,4083.0,1108.0,683.0,3922.0,8268.0,606.0,4364.0,4681.0,1334.0,3337.0,0.0,1.0,19758.0,54986.0,174473.0,65034.0,285426.0,46460.0,65977.0,299569.0,61916.0,0.0,900172.0,5905.0,4077.0,7634.0,6039.0,9296.0,2750.0,5957.0,5760.0,5864.0,4965.0,4719.0,4312.0,5834.0,6713.0,7385.0,4493.0,6136.0,6419.0,5512.0,5850.0,2.0,2.0,352.0,1054.0,1950.0,982.0,429.0,550.0,1030.0,232.0,0.0,0.0,6.0,29.0,4.0,9.0,9.0,24.0,9.0,12.0,13.0,7.0,100.0,5204.0,3730.0,5763.0,7439.0,6062.0,4389.0,7117.0,5981.0,6026.0,5071.0,5.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,12,16,30,30,64,92,16,12,46,44,9794,9480,322,295,17562,14824,591151,482448,31624,26623,29144,28229,4263,2316,52,70,25,17,28857,27925,15
8,4.0,8.0,2.0,0.0,5.0,1.0,3.0,0.0,2.0,1159.0,715.0,1033.0,929.0,801.0,655.0,1148.0,370.0,746.0,687.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,0.0,1.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,4.0,0.0,4.0,100.0,0.0,4.0,1.0,1.0,5.0,3.0,0.0,0.0,2.0,4.0,10.0,8.0,9.0,10.0,8.0,7.0,10.0,11.0,11.0,9.0,1157.0,1721.0,338.0,1939.0,78.0,3641.0,1037.0,170.0,1648.0,0.0,123.0,21.0,4.0,93.0,90.0,23.0,71.0,22.0,116.0,118.0,5612.0,872.0,3971.0,244.0,1317.0,299.0,5144.0,3262.0,39.0,5051.0,1.0,1.0,67736.0,35674.0,286585.0,14830.0,2742.0,38413.0,148147.0,120892.0,110375.0,13451.0,900264.0,6830.0,2978.0,4544.0,3131.0,1396.0,4149.0,7086.0,3830.0,1687.0,5051.0,6669.0,4230.0,6583.0,5239.0,4326.0,3430.0,4818.0,6095.0,6511.0,6187.0,10.0,4.0,60.0,384.0,235.0,947.0,0.0,208.0,905.0,398.0,0.0,0.0,10.0,36.0,4.0,12.0,10.0,32.0,11.0,5.0,5.0,10.0,200.0,7107.0,4481.0,5814.0,6466.0,5029.0,3597.0,6244.0,7418.0,7567.0,5368.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,13,9,30,30,87,108,9,13,44,49,7153,4576,333,348,11443,14368,410306,428539,20050,20632,26247,27841,1450,1687,68,67,12,14,28013,31078,15
9,1.0,10.0,0.0,2.0,3.0,1.0,7.0,2.0,6.0,367.0,780.0,75.0,1020.0,29.0,68.0,36.0,2026.0,880.0,1267.0,4.0,5.0,5.0,4.0,4.0,0.0,1.0,4.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,4.0,64.0,0.0,4.0,0.0,2.0,3.0,4.0,1.0,0.0,7.0,7.0,10.0,8.0,8.0,11.0,9.0,8.0,12.0,11.0,9.0,9.0,375.0,2975.0,0.0,7099.0,837.0,1338.0,349.0,6950.0,852.0,303.0,101.0,26.0,9.0,109.0,124.0,26.0,151.0,35.0,62.0,90.0,6323.0,461.0,3697.0,598.0,3642.0,700.0,7342.0,137.0,11691.0,5634.0,1.0,0.0,14843.0,28678.0,172048.0,34775.0,0.0,48706.0,146817.0,421131.0,34709.0,24818.0,900251.0,6699.0,3667.0,3835.0,8421.0,4479.0,2789.0,7692.0,7672.0,12980.0,5937.0,4517.0,4355.0,4915.0,7020.0,5204.0,3493.0,7351.0,7246.0,5825.0,5317.0,9.0,3.0,0.0,230.0,137.0,724.0,0.0,750.0,0.0,583.0,436.0,0.0,125.0,42.0,3.0,9.0,12.0,54.0,16.0,3.0,3.0,15.0,200.0,6652.0,4799.0,5028.0,7587.0,5436.0,4416.0,8589.0,7317.0,5915.0,5415.0,1.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,22,8,30,30,71,72,8,22,46,49,9649,11429,369,364,14960,25265,270372,656153,26223,37948,25149,30094,1611,1249,203,79,7,26,29119,32035,15
10,5.0,9.0,6.0,5.0,10.0,2.0,6.0,3.0,2.0,846.0,44.0,1753.0,32.0,718.0,431.0,217.0,506.0,294.0,399.0,0.0,4.0,4.0,5.0,4.0,0.0,1.0,2.0,6.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,2.0,0.0,78.0,0.0,8.0,0.0,2.0,2.0,0.0,9.0,1.0,5.0,4.0,9.0,7.0,9.0,9.0,8.0,7.0,10.0,9.0,10.0,8.0,1414.0,1016.0,647.0,2171.0,1159.0,2767.0,568.0,4155.0,4374.0,77.0,83.0,22.0,17.0,85.0,99.0,14.0,108.0,4.0,104.0,72.0,1038.0,1516.0,4177.0,744.0,9023.0,379.0,4267.0,1602.0,1387.0,5551.0,0.0,0.0,168519.0,31084.0,96522.0,19520.0,0.0,31029.0,125643.0,397933.0,46959.0,67422.0,900353.0,2452.0,2780.0,5060.0,2915.0,10183.0,3597.0,6385.0,6832.0,7402.0,5639.0,4146.0,4459.0,5338.0,4292.0,7718.0,3981.0,5532.0,5931.0,5654.0,6249.0,11.0,1.0,0.0,248.0,235.0,0.0,0.0,450.0,1549.0,1074.0,1640.0,11.0,6.0,26.0,4.0,7.0,8.0,27.0,7.0,10.0,11.0,6.0,200.0,5662.0,3665.0,5407.0,5704.0,4944.0,3824.0,6581.0,5371.0,6935.0,4586.0,1.0,0.0,3.0,2.0,4.0,1.0,3.0,0.0,1.0,3.0,0.0,17,12,20,30,66,86,12,17,42,44,8158,10190,298,310,15361,14323,315590,669041,24207,29038,25475,27825,685,4522,52,60,27,22,25541,27138,15
11,2.0,5.0,4.0,3.0,4.0,2.0,6.0,5.0,6.0,1059.0,375.0,540.0,706.0,647.0,467.0,353.0,825.0,636.0,348.0,3.0,3.0,6.0,2.0,1.0,0.0,5.0,4.0,0.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4.0,0.0,0.0,0.0,91.0,8.0,0.0,0.0,0.0,4.0,6.0,0.0,5.0,2.0,4.0,10.0,7.0,9.0,10.0,9.0,8.0,11.0,10.0,10.0,10.0,5388.0,1262.0,780.0,463.0,4412.0,0.0,373.0,0.0,6178.0,204.0,108.0,7.0,7.0,87.0,102.0,39.0,109.0,5.0,89.0,115.0,753.0,691.0,5764.0,8986.0,598.0,2591.0,5067.0,7754.0,1535.0,3273.0,1.0,0.0,40487.0,37118.0,77352.0,47718.0,88748.0,41902.0,132097.0,175607.0,187840.0,41273.0,900334.0,6470.0,2648.0,7399.0,9819.0,5184.0,3329.0,7768.0,7934.0,8252.0,3478.0,4959.0,3535.0,6190.0,6071.0,5147.0,5752.0,7813.0,5575.0,6261.0,5738.0,10.0,2.0,328.0,694.0,854.0,370.0,174.0,737.0,2326.0,180.0,538.0,0.0,5.0,44.0,2.0,11.0,11.0,48.0,8.0,12.0,9.0,55.0,200.0,6875.0,3232.0,5627.0,6140.0,5452.0,4197.0,7958.0,6638.0,6791.0,6314.0,5.0,0.0,6.0,8.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,15,15,30,30,83,99,15,15,46,48,11043,8017,343,325,18692,18320,296207,573935,32201,30080,28119,28922,2463,3738,77,128,18,24,28291,30933,15
12,6.0,2.0,0.0,2.0,4.0,2.0,3.0,0.0,1.0,641.0,122.0,1042.0,1129.0,614.0,363.0,1042.0,2077.0,716.0,256.0,5.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,4.0,2.0,8.0,7.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,8.0,196.0,1500.0,2253.0,7026.0,0.0,435.0,1033.0,1408.0,1828.0,149.0,51.0,24.0,15.0,111.0,142.0,28.0,120.0,14.0,123.0,110.0,3233.0,422.0,478.0,0.0,5298.0,344.0,6955.0,2478.0,137.0,1468.0,0.0,1.0,12056.0,15176.0,214790.0,67264.0,19029.0,15721.0,0.0,204140.0,396249.0,208067.0,900258.0,3430.0,2670.0,3627.0,7026.0,5581.0,1003.0,8930.0,4023.0,1966.0,1618.0,3941.0,3452.0,6117.0,5534.0,7089.0,4098.0,6217.0,6827.0,6131.0,4906.0,7.0,1.0,0.0,746.0,895.0,0.0,283.0,224.0,942.0,136.0,0.0,0.0,82.0,38.0,3.0,9.0,10.0,67.0,17.0,7.0,12.0,9.0,200.0,4442.0,4021.0,6302.0,6900.0,6342.0,4071.0,7358.0,6590.0,7475.0,4915.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,9,10,30,30,98,84,10,9,46,47,9910,5918,347,391,9353,11460,328860,823632,20667,19207,26779,27533,1402,1824,171,83,14,8,28057,30359,15
