,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_8,deathsplayer_9,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_4,baron_team200,deathsplayer_10,deathsplayer_7,dragon_team100,inhibs_lost_team200,riftherald_team100,baron_team100,killsplayer_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,1.0,7.0,4.0,1.0,4.0,7.0,3.0,7.0,5.0,28.0,208.0,80.0,522.0,593.0,689.0,553.0,2406.0,1950.0,398.0,1.0,9.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,60.0,0.0,4.0,0.0,4.0,92.0,0.0,16.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,6.0,5.0,5.0,11.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,12.0,11.0,0.0,4462.0,377.0,1034.0,0.0,3965.0,6570.0,6588.0,13905.0,548.0,102.0,6.0,21.0,81.0,118.0,12.0,100.0,6.0,127.0,135.0,4894.0,595.0,7228.0,3193.0,3778.0,1118.0,4341.0,271.0,466.0,11413.0,1.0,1.0,24938.0,26819.0,409854.0,68041.0,8818.0,113125.0,330536.0,140614.0,186813.0,158838.0,1200407.0,4894.0,5235.0,8293.0,5426.0,4845.0,5678.0,10911.0,7113.0,15065.0,12340.0,6203.0,6358.0,5955.0,5552.0,6243.0,4914.0,7243.0,7756.0,8295.0,9048.0,7.0,1.0,0.0,178.0,687.0,1198.0,1066.0,594.0,0.0,253.0,693.0,378.0,48.0,6.0,23.0,8.0,3.0,2.0,66.0,6.0,7.0,7.0,5.0,200.0,7453.0,5501.0,6639.0,7265.0,6880.0,5854.0,8524.0,7057.0,9361.0,7565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7,30,30,72,112,7,21,50,53,5376,32073,334,374,20211,17086,624776,843620,29136,50664,28867,38700,3545,1502,85,48,10,29,34091,38008
1,2.0,7.0,7.0,6.0,16.0,0.0,5.0,5.0,6.0,343.0,195.0,1752.0,933.0,131.0,402.0,464.0,525.0,298.0,1242.0,3.0,3.0,6.0,6.0,3.0,3.0,8.0,4.0,2.0,CLASSIC,MATCHED_GAME,11.19.398.9466,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.0,4.0,3.0,0.0,4.0,88.0,6.0,0.0,2.0,2.0,3.0,3.0,13.0,6.0,5.0,3.0,7.0,4.0,12.0,9.0,13.0,11.0,13.0,10.0,13.0,12.0,11.0,12.0,2138.0,5352.0,14299.0,323.0,1241.0,6290.0,0.0,5071.0,1195.0,8334.0,158.0,20.0,45.0,88.0,158.0,18.0,145.0,21.0,114.0,117.0,11203.0,1093.0,315.0,10992.0,15588.0,1641.0,5999.0,1048.0,12414.0,2060.0,0.0,0.0,8289.0,51359.0,171801.0,44299.0,23157.0,53725.0,116195.0,659338.0,112264.0,114051.0,1200297.0,13341.0,7634.0,14953.0,11917.0,19117.0,8587.0,5999.0,6581.0,13996.0,10746.0,8613.0,5385.0,8912.0,6338.0,11871.0,8052.0,8279.0,6640.0,8898.0,7507.0,6.0,7.0,0.0,1188.0,338.0,601.0,2287.0,654.0,0.0,461.0,386.0,351.0,0.0,33.0,21.0,5.0,3.0,11.0,31.0,6.0,2.0,12.0,12.0,200.0,9133.0,5599.0,10455.0,8464.0,10464.0,7213.0,10824.0,9094.0,8200.0,8654.0,8.0,2.0,9.0,3.0,2.0,1.0,2.0,0.0,0.0,21,27,30,30,136,98,27,21,59,57,24291,19952,467,417,39739,22614,301271,1053207,67915,44956,43786,36709,3880,2386,83,53,39,23,45729,42371
2,1.0,11.0,3.0,3.0,4.0,3.0,9.0,2.0,5.0,3176.0,303.0,64.0,1515.0,672.0,547.0,62.0,829.0,735.0,46.0,2.0,3.0,8.0,2.0,6.0,4.0,3.0,4.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,108.0,8.0,4.0,0.0,0.0,119.0,8.0,0.0,5.0,2.0,1.0,9.0,4.0,1.0,1.0,4.0,7.0,7.0,14.0,11.0,11.0,12.0,12.0,8.0,11.0,12.0,13.0,11.0,2522.0,3397.0,418.0,11499.0,9362.0,1193.0,2512.0,8208.0,1382.0,848.0,174.0,32.0,6.0,110.0,140.0,19.0,107.0,15.0,124.0,156.0,7052.0,843.0,6680.0,1098.0,637.0,422.0,1479.0,567.0,6496.0,10618.0,0.0,1.0,100215.0,50402.0,150845.0,145414.0,124675.0,94692.0,242262.0,351810.0,102096.0,49240.0,1200357.0,9798.0,4773.0,7406.0,13344.0,9999.0,1615.0,3992.0,9320.0,9408.0,11467.0,12109.0,5828.0,7014.0,8905.0,7892.0,5047.0,5897.0,8444.0,8150.0,8841.0,0.0,9.0,224.0,532.0,307.0,746.0,0.0,0.0,0.0,544.0,1529.0,0.0,0.0,8.0,30.0,4.0,8.0,11.0,34.0,8.0,6.0,8.0,10.0,100.0,11555.0,7523.0,7746.0,9416.0,8609.0,4721.0,8549.0,9115.0,10419.0,7786.0,3.0,0.0,5.0,4.0,2.0,1.0,1.0,1.0,0.0,21,20,30,30,132,127,20,21,57,58,24994,16347,449,434,15889,20003,615841,795810,42162,38960,40967,37160,1277,2605,65,62,14,30,42047,43392
3,4.0,10.0,3.0,3.0,6.0,4.0,12.0,6.0,11.0,709.0,453.0,611.0,965.0,510.0,324.0,502.0,1188.0,618.0,2241.0,5.0,3.0,7.0,3.0,5.0,5.0,2.0,0.0,3.0,CLASSIC,MATCHED_GAME,11.17.393.607,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,6.0,0.0,0.0,0.0,90.0,4.0,0.0,3.0,4.0,5.0,2.0,2.0,0.0,3.0,5.0,5.0,6.0,12.0,11.0,13.0,12.0,10.0,9.0,11.0,11.0,13.0,13.0,7583.0,4614.0,370.0,9809.0,4442.0,2327.0,681.0,399.0,9049.0,0.0,128.0,37.0,18.0,147.0,119.0,16.0,114.0,6.0,162.0,172.0,2434.0,2311.0,10199.0,376.0,4665.0,744.0,6888.0,8395.0,1204.0,11742.0,0.0,1.0,67778.0,240343.0,298957.0,39930.0,9448.0,131157.0,116132.0,203448.0,158653.0,48680.0,1200297.0,14078.0,7760.0,11320.0,10186.0,9802.0,3072.0,9965.0,9486.0,10254.0,11874.0,8174.0,6913.0,9201.0,6975.0,6185.0,4799.0,6277.0,7588.0,9128.0,10241.0,5.0,8.0,4059.0,834.0,751.0,0.0,694.0,0.0,2395.0,691.0,0.0,132.0,0.0,13.0,67.0,8.0,14.0,15.0,47.0,7.0,14.0,16.0,16.0,100.0,9120.0,7375.0,10130.0,8718.0,6577.0,5410.0,8241.0,8021.0,10254.0,10058.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,23,12,30,30,148,95,12,23,56,59,24531,14743,428,491,18418,30540,547270,767256,48458,49339,35334,40147,5504,4052,97,120,18,43,39955,43949
4,1.0,3.0,3.0,5.0,7.0,2.0,0.0,2.0,1.0,532.0,562.0,42.0,736.0,822.0,814.0,290.0,105.0,314.0,668.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,CLASSIC,CUSTOM_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,125.0,4.0,8.0,0.0,0.0,118.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,8.0,11.0,12.0,11.0,9.0,12.0,11.0,12.0,10.0,399.0,2123.0,698.0,7252.0,165.0,2413.0,0.0,880.0,2730.0,1233.0,134.0,37.0,8.0,168.0,175.0,14.0,151.0,6.0,163.0,146.0,10685.0,686.0,5009.0,527.0,2430.0,399.0,3127.0,4155.0,138.0,2429.0,1.0,0.0,228456.0,30452.0,131381.0,349213.0,125092.0,122813.0,103737.0,238766.0,122649.0,182937.0,1200429.0,11104.0,3062.0,5961.0,7780.0,2595.0,2812.0,3383.0,5913.0,2915.0,3662.0,7547.0,4402.0,7832.0,7286.0,7797.0,4914.0,6290.0,8105.0,7094.0,5858.0,1.0,8.0,20.0,252.0,254.0,0.0,0.0,0.0,256.0,877.0,46.0,0.0,0.0,13.0,53.0,4.0,18.0,53.0,29.0,9.0,7.0,10.0,7.0,100.0,9492.0,4626.0,7864.0,9627.0,7978.0,5084.0,9367.0,7751.0,9251.0,6320.0,4.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,4,10,30,30,173,118,10,4,55,53,10927,6966,499,503,19050,10535,956955,678541,30252,18935,35376,31749,274,1431,117,86,20,8,40045,37315
5,0.0,5.0,4.0,3.0,11.0,7.0,7.0,5.0,3.0,442.0,438.0,264.0,451.0,324.0,417.0,352.0,540.0,573.0,1083.0,6.0,2.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,108.0,4.0,21.0,0.0,0.0,88.0,0.0,8.0,0.0,2.0,9.0,3.0,8.0,1.0,5.0,3.0,2.0,4.0,12.0,10.0,12.0,12.0,12.0,9.0,12.0,11.0,12.0,11.0,850.0,3315.0,3566.0,10305.0,483.0,2985.0,2029.0,6109.0,7771.0,849.0,119.0,27.0,15.0,129.0,155.0,36.0,121.0,25.0,146.0,150.0,2264.0,1490.0,7664.0,592.0,8196.0,408.0,9945.0,1107.0,1811.0,6561.0,2.0,0.0,67084.0,241657.0,558259.0,58891.0,136022.0,78655.0,20905.0,221107.0,448065.0,51194.0,1200350.0,3145.0,5219.0,12682.0,11517.0,9395.0,4015.0,12413.0,7539.0,10452.0,7410.0,6492.0,5138.0,9403.0,7001.0,10624.0,6167.0,8972.0,7390.0,7123.0,8473.0,9.0,7.0,30.0,414.0,1452.0,619.0,715.0,622.0,438.0,323.0,868.0,0.0,13.0,8.0,52.0,4.0,10.0,10.0,36.0,3.0,17.0,9.0,16.0,200.0,8901.0,6382.0,9595.0,9541.0,9321.0,5898.0,9644.0,7671.0,9676.0,8491.0,3.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,16,21,30,30,148,96,21,16,57,56,18189,20073,454,469,19124,20914,898911,982928,40754,43033,39687,37096,3438,2043,68,97,21,27,43256,41864
6,4.0,3.0,5.0,10.0,13.0,2.0,4.0,3.0,1.0,579.0,208.0,1838.0,1930.0,2120.0,1287.0,583.0,88.0,203.0,636.0,3.0,2.0,3.0,2.0,1.0,8.0,8.0,8.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,90.0,4.0,0.0,0.0,4.0,101.0,0.0,0.0,4.0,1.0,13.0,10.0,9.0,1.0,3.0,4.0,2.0,1.0,11.0,8.0,12.0,13.0,13.0,10.0,12.0,11.0,11.0,10.0,388.0,0.0,9651.0,3216.0,1078.0,2832.0,0.0,0.0,5848.0,7935.0,98.0,29.0,9.0,121.0,183.0,30.0,121.0,19.0,122.0,141.0,4409.0,6387.0,935.0,14790.0,13476.0,2068.0,12284.0,5309.0,1111.0,826.0,0.0,0.0,76035.0,86944.0,107725.0,36165.0,41083.0,53443.0,217420.0,210598.0,57308.0,154508.0,1200416.0,6732.0,6387.0,11591.0,18735.0,14554.0,5453.0,12957.0,7129.0,8214.0,8762.0,8489.0,5358.0,9972.0,10160.0,10495.0,5787.0,7823.0,8238.0,6353.0,6261.0,1.0,6.0,1934.0,0.0,1004.0,729.0,0.0,551.0,673.0,1819.0,1253.0,0.0,0.0,5.0,15.0,5.0,27.0,48.0,17.0,6.0,3.0,25.0,8.0,100.0,8124.0,4456.0,8648.0,11226.0,10703.0,6884.0,8884.0,7834.0,7472.0,6705.0,9.0,0.0,7.0,6.0,2.0,0.0,2.0,1.0,0.0,11,37,30,30,110,105,37,11,59,52,17165,13783,441,432,35678,25917,314451,726778,57065,43449,44903,34033,4218,3745,102,57,41,13,45585,35351
7,2.0,7.0,3.0,3.0,6.0,0.0,4.0,0.0,5.0,368.0,281.0,223.0,278.0,597.0,228.0,56.0,859.0,982.0,894.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,115.0,4.0,0.0,4.0,12.0,107.0,0.0,1.0,2.0,1.0,3.0,3.0,8.0,2.0,5.0,2.0,1.0,4.0,12.0,10.0,11.0,11.0,12.0,9.0,13.0,11.0,11.0,11.0,3126.0,7283.0,458.0,1627.0,0.0,2973.0,456.0,0.0,4530.0,551.0,129.0,28.0,18.0,124.0,88.0,33.0,163.0,4.0,128.0,146.0,2392.0,464.0,5879.0,5029.0,7835.0,1332.0,5097.0,6438.0,1639.0,6294.0,0.0,1.0,44469.0,106009.0,146179.0,38909.0,114854.0,155158.0,92904.0,170363.0,489600.0,59072.0,1200288.0,8485.0,9909.0,7089.0,6854.0,10018.0,4747.0,8444.0,7787.0,6579.0,6845.0,7428.0,5841.0,8024.0,7358.0,8202.0,5898.0,9888.0,6584.0,6197.0,7604.0,11.0,4.0,2966.0,2160.0,751.0,198.0,2183.0,442.0,2889.0,1349.0,410.0,0.0,0.0,10.0,40.0,1.0,21.0,6.0,44.0,5.0,6.0,10.0,62.0,200.0,8748.0,6237.0,7858.0,7341.0,8955.0,5948.0,11016.0,7667.0,8336.0,7789.0,2.0,1.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,13,18,30,30,123,120,18,13,55,56,8184,12820,392,469,22467,19932,499569,917948,37193,39564,36910,36114,6540,6808,82,123,16,16,38850,41045
8,5.0,6.0,4.0,5.0,2.0,6.0,4.0,1.0,3.0,93.0,676.0,683.0,77.0,380.0,217.0,106.0,857.0,643.0,529.0,5.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,0.0,0.0,0.0,4.0,133.0,20.0,8.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,6.0,6.0,3.0,12.0,9.0,11.0,12.0,10.0,9.0,13.0,12.0,12.0,11.0,497.0,1379.0,5868.0,3216.0,294.0,1567.0,11270.0,0.0,1379.0,6606.0,116.0,24.0,15.0,136.0,130.0,35.0,146.0,19.0,135.0,159.0,6268.0,927.0,248.0,4231.0,3528.0,678.0,2120.0,8381.0,7296.0,529.0,1.0,0.0,105481.0,34193.0,199950.0,126381.0,366475.0,105860.0,43479.0,250245.0,128337.0,130704.0,1200353.0,8653.0,2520.0,6727.0,7542.0,3985.0,2371.0,13390.0,8915.0,10682.0,7136.0,7293.0,5926.0,8258.0,6027.0,5675.0,4762.0,7856.0,8782.0,8528.0,9119.0,7.0,7.0,1887.0,214.0,609.0,94.0,162.0,126.0,0.0,534.0,2006.0,0.0,0.0,16.0,26.0,11.0,10.0,12.0,47.0,9.0,18.0,11.0,12.0,100.0,8714.0,5576.0,8367.0,8580.0,7024.0,5308.0,10084.0,9957.0,9886.0,7456.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,18,9,30,30,98,165,9,18,54,57,11442,20634,432,483,14953,19253,904147,586958,29278,42643,32015,40211,2878,2754,96,76,17,20,37993,42959
9,4.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2904.0,717.0,6.0,954.0,1024.0,121.0,546.0,1034.0,146.0,1399.0,1.0,5.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,108.0,0.0,0.0,4.0,0.0,0.0,0.0,98.0,0.0,4.0,6.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0,12.0,9.0,12.0,12.0,11.0,9.0,12.0,11.0,12.0,11.0,11431.0,1243.0,2649.0,0.0,1105.0,2806.0,9355.0,5109.0,1012.0,207.0,19.0,4.0,147.0,94.0,170.0,9.0,131.0,19.0,147.0,181.0,456.0,355.0,6172.0,4067.0,3538.0,523.0,2595.0,510.0,6546.0,9910.0,0.0,1.0,249401.0,124447.0,78775.0,162352.0,39111.0,20083.0,392333.0,389747.0,792.0,50177.0,1200388.0,13808.0,1599.0,8821.0,4488.0,5254.0,3412.0,11950.0,6158.0,8022.0,11369.0,9210.0,4367.0,6146.0,6779.0,7544.0,4146.0,6796.0,6324.0,7061.0,9074.0,10.0,3.0,1920.0,0.0,0.0,420.0,610.0,82.0,0.0,538.0,464.0,1251.0,0.0,13.0,29.0,11.0,12.0,15.0,26.0,10.0,7.0,34.0,11.0,200.0,9018.0,5977.0,9195.0,8811.0,7653.0,5418.0,9678.0,7709.0,9151.0,7808.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,9,11,30,30,112,102,11,9,56,55,17991,16926,439,482,14756,19916,549722,957496,35783,39098,33825,33622,3032,2253,77,91,11,11,40095,40323
10,11.0,8.0,12.0,1.0,13.0,1.0,3.0,3.0,7.0,393.0,463.0,715.0,514.0,1224.0,681.0,1232.0,2513.0,717.0,669.0,2.0,2.0,2.0,4.0,3.0,6.0,3.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.17.393.607,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,91.0,11.0,18.0,0.0,0.0,97.0,3.0,0.0,1.0,1.0,5.0,6.0,7.0,3.0,2.0,7.0,1.0,2.0,12.0,9.0,11.0,13.0,10.0,9.0,10.0,12.0,12.0,11.0,570.0,4901.0,13418.0,2280.0,4600.0,4527.0,64.0,1617.0,1660.0,579.0,155.0,10.0,15.0,180.0,103.0,2.0,99.0,30.0,128.0,163.0,7236.0,1373.0,771.0,7903.0,8178.0,733.0,4493.0,8536.0,4665.0,8713.0,1.0,0.0,33526.0,21337.0,133884.0,113842.0,49377.0,48549.0,57985.0,419356.0,101931.0,105795.0,1200301.0,7806.0,6275.0,14837.0,12023.0,13232.0,6081.0,5047.0,10509.0,6458.0,9292.0,8463.0,5763.0,8265.0,9534.0,8699.0,5906.0,6007.0,8778.0,6697.0,8104.0,2.0,4.0,0.0,0.0,647.0,1838.0,453.0,820.0,490.0,355.0,132.0,0.0,0.0,6.0,19.0,38.0,6.0,8.0,14.0,11.0,13.0,7.0,3.0,100.0,9235.0,5975.0,8311.0,11175.0,7068.0,5853.0,6134.0,8769.0,8680.0,7969.0,6.0,0.0,4.0,6.0,2.0,0.0,1.0,0.0,0.0,13,22,30,30,122,104,22,13,55,54,25395,8821,455,430,24821,27780,379178,706404,53979,37581,40867,35349,3758,977,72,53,43,22,41642,37527
11,6.0,13.0,6.0,2.0,5.0,3.0,4.0,5.0,5.0,21.0,298.0,1319.0,286.0,2015.0,603.0,367.0,663.0,1186.0,2090.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,91.0,0.0,4.0,0.0,5.0,119.0,20.0,0.0,4.0,3.0,5.0,8.0,1.0,0.0,1.0,8.0,6.0,2.0,11.0,9.0,11.0,12.0,12.0,9.0,11.0,11.0,13.0,11.0,6257.0,4545.0,982.0,622.0,776.0,3808.0,0.0,1852.0,15300.0,410.0,110.0,24.0,10.0,124.0,169.0,11.0,110.0,19.0,150.0,145.0,1441.0,892.0,10672.0,7730.0,8891.0,314.0,6710.0,8870.0,1653.0,7980.0,2.0,0.0,132576.0,90636.0,177361.0,129866.0,55912.0,39458.0,137504.0,218158.0,138271.0,19269.0,1200385.0,8111.0,6255.0,11947.0,11757.0,9811.0,4472.0,6993.0,12160.0,16975.0,8451.0,6861.0,6403.0,7869.0,9020.0,7590.0,4628.0,6832.0,9178.0,9561.0,7545.0,10.0,7.0,412.0,817.0,292.0,3404.0,144.0,350.0,283.0,1436.0,21.0,60.0,0.0,15.0,58.0,4.0,14.0,14.0,51.0,14.0,22.0,18.0,35.0,200.0,8518.0,5831.0,8317.0,8948.0,8617.0,5102.0,7356.0,8399.0,10627.0,7962.0,3.0,3.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,20,19,30,30,98,144,18,20,55,55,12445,22107,424,448,29048,26105,535173,603838,46098,50834,35968,39519,4602,2617,98,147,22,30,39502,40175
12,5.0,5.0,8.0,1.0,9.0,1.0,3.0,2.0,2.0,2312.0,301.0,509.0,218.0,1023.0,458.0,131.0,253.0,844.0,332.0,1.0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,108.0,20.0,16.0,0.0,8.0,79.0,4.0,8.0,6.0,0.0,4.0,4.0,6.0,1.0,0.0,4.0,3.0,3.0,14.0,9.0,12.0,11.0,12.0,9.0,12.0,10.0,12.0,10.0,0.0,1323.0,620.0,304.0,8383.0,4873.0,672.0,872.0,9020.0,0.0,169.0,36.0,15.0,147.0,151.0,25.0,111.0,25.0,139.0,144.0,11352.0,1025.0,8364.0,3654.0,524.0,429.0,2064.0,4257.0,718.0,4930.0,1.0,0.0,140612.0,72269.0,170112.0,85569.0,200379.0,46152.0,69149.0,288604.0,593983.0,27579.0,1200496.0,12023.0,2348.0,9146.0,3958.0,8907.0,5575.0,2736.0,5217.0,10105.0,4930.0,12321.0,4751.0,8124.0,7993.0,8858.0,5408.0,5791.0,7128.0,6994.0,8207.0,2.0,11.0,671.0,0.0,161.0,0.0,0.0,272.0,0.0,87.0,366.0,0.0,0.0,7.0,26.0,3.0,10.0,9.0,19.0,6.0,12.0,11.0,4.0,100.0,12652.0,5754.0,8854.0,8468.0,9755.0,6113.0,8581.0,7026.0,8752.0,7116.0,1.0,0.0,2.0,6.0,2.0,2.0,1.0,1.0,0.0,10,21,30,30,164,99,21,10,58,53,14180,11887,507,455,24323,12994,642824,1051584,39609,25336,42704,32871,1104,453,48,59,24,13,45842,37229
