,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_8,deathsplayer_9,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_10,killsplayer_2,killsplayer_4,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,riftherald_team200,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_1,baron_team100,deathsplayer_7,dragon_team100,inhibs_lost_team200,killsplayer_3,killsplayer_5,killsplayer_0,killsplayer_1,riftherald_team300,ward_player_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,12.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,6.0,1.0,154.0,248.0,243.0,1086.0,856.0,595.0,2133.0,1423.0,1069.0,823.0,6.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,99.0,0.0,0.0,0.0,16.0,124.0,10.0,18.0,2.0,3.0,2.0,4.0,7.0,5.0,3.0,12.0,10.0,11.0,11.0,11.0,8.0,13.0,13.0,13.0,12.0,0.0,4706.0,444.0,231.0,7001.0,2538.0,4463.0,74.0,9642.0,1563.0,133.0,10.0,27.0,138.0,96.0,4.0,145.0,31.0,160.0,146.0,11477.0,701.0,4965.0,5219.0,178.0,524.0,10147.0,4726.0,1802.0,7128.0,1.0,1.0,109156.0,121338.0,307609.0,14698.0,152390.0,65417.0,112054.0,352603.0,57271.0,15800.0,1200313.0,11477.0,5718.0,6251.0,5450.0,7180.0,3063.0,14611.0,6056.0,11743.0,9093.0,5524.0,6753.0,7158.0,6336.0,6161.0,4120.0,9708.0,9498.0,8774.0,8768.0,11.0,1.0,0.0,310.0,841.0,0.0,0.0,0.0,0.0,1255.0,298.0,402.0,4.0,15.0,5.0,6.0,6.0,16.0,7.0,1.0,5.0,7.0,200.0,8694.0,6585.0,7547.0,7345.0,7338.0,4612.0,11398.0,10121.0,10367.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,30,30,99,168,5,21,53,61,10214,20448,398,492,22363,24504,649270,659066,33421,47221,29299,43501,841,2265,37,35,5,26,35536,47461
1,3.0,7.0,0.0,5.0,9.0,2.0,1.0,0.0,0.0,0.0,293.0,8.0,584.0,1563.0,399.0,103.0,417.0,98.0,685.0,500.0,1.0,6.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,1.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,100.0,4.0,12.0,0.0,4.0,140.0,0.0,0.0,0.0,4.0,9.0,2.0,0.0,3.0,0.0,13.0,9.0,11.0,12.0,12.0,9.0,12.0,12.0,12.0,10.0,3006.0,1868.0,553.0,0.0,939.0,5992.0,0.0,0.0,4572.0,0.0,153.0,30.0,13.0,146.0,166.0,20.0,151.0,19.0,154.0,138.0,527.0,814.0,6350.0,5102.0,10465.0,463.0,6859.0,1757.0,224.0,4768.0,2.0,0.0,116302.0,33817.0,306760.0,81647.0,69957.0,129231.0,109516.0,221149.0,44776.0,5681.0,1200312.0,3618.0,3152.0,7296.0,5818.0,11405.0,6709.0,8001.0,1953.0,4796.0,4768.0,8403.0,4108.0,7699.0,7288.0,10254.0,6228.0,6990.0,6738.0,7395.0,6040.0,0.0,11.0,84.0,470.0,392.0,715.0,0.0,254.0,1142.0,196.0,0.0,0.0,11.0,32.0,6.0,12.0,14.0,29.0,8.0,60.0,12.0,6.0,100.0,9962.0,5424.0,7955.0,9200.0,9228.0,5674.0,9950.0,8843.0,9031.0,6612.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,5,19,30,30,128,144,19,5,57,55,10490,6440,498,492,22907,14422,703897,414939,34846,22670,39872,31271,1445,1808,72,118,24,6,42019,39860
2,16.0,6.0,3.0,5.0,11.0,5.0,7.0,8.0,7.0,1.0,317.0,349.0,1007.0,509.0,1144.0,435.0,117.0,982.0,563.0,267.0,6.0,4.0,5.0,8.0,4.0,4.0,9.0,6.0,4.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,72.0,4.0,10.0,0.0,5.0,107.0,4.0,8.0,4.0,7.0,7.0,3.0,11.0,5.0,4.0,11.0,10.0,11.0,11.0,11.0,8.0,12.0,12.0,11.0,10.0,8004.0,4506.0,1392.0,231.0,2007.0,3655.0,10552.0,12356.0,1115.0,946.0,87.0,25.0,17.0,78.0,146.0,2.0,124.0,26.0,102.0,132.0,872.0,862.0,11804.0,7694.0,13881.0,1576.0,861.0,2114.0,13703.0,7706.0,0.0,1.0,21442.0,75591.0,532543.0,86385.0,38980.0,167508.0,129771.0,311771.0,63235.0,120230.0,1200325.0,9144.0,5632.0,14031.0,8315.0,16042.0,5231.0,14882.0,15085.0,15297.0,8918.0,6042.0,6399.0,7615.0,6984.0,9404.0,5630.0,8192.0,11847.0,7703.0,7942.0,10.0,1.0,267.0,264.0,834.0,390.0,154.0,0.0,3468.0,614.0,479.0,266.0,8.0,19.0,3.0,5.0,10.0,25.0,6.0,2.0,4.0,8.0,200.0,7530.0,6334.0,7796.0,7591.0,8002.0,4990.0,8614.0,9843.0,8009.0,7212.0,5.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,27,25,30,30,86,125,23,27,52,55,15289,29475,330,409,35827,25246,846858,700598,52763,59814,35675,42083,1645,5091,51,39,30,43,35909,40012
3,6.0,7.0,0.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,1209.0,212.0,102.0,2069.0,188.0,35.0,322.0,955.0,136.0,183.0,5.0,3.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,4.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,16.0,11.0,106.0,0.0,90.0,4.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,12.0,9.0,9.0,13.0,11.0,12.0,13.0,11.0,11.0,11.0,8737.0,3442.0,6209.0,2094.0,711.0,859.0,8574.0,1112.0,3902.0,678.0,136.0,6.0,25.0,167.0,129.0,10.0,150.0,30.0,130.0,155.0,2353.0,728.0,411.0,7421.0,5386.0,9555.0,5349.0,5385.0,655.0,8246.0,2.0,0.0,21175.0,135912.0,95257.0,155230.0,0.0,142573.0,324317.0,138364.0,19785.0,18238.0,1200332.0,11629.0,4849.0,7282.0,12669.0,6098.0,11198.0,13923.0,7075.0,5030.0,8924.0,7184.0,5791.0,5877.0,9194.0,6438.0,8125.0,8872.0,6855.0,6061.0,7183.0,7.0,10.0,537.0,679.0,660.0,3154.0,0.0,783.0,0.0,577.0,472.0,0.0,10.0,49.0,64.0,16.0,8.0,4.0,17.0,2.0,11.0,19.0,200.0,9203.0,5902.0,5779.0,11353.0,7358.0,9370.0,11056.0,8123.0,8116.0,7704.0,1.0,2.0,5.0,2.0,2.0,6.0,6.0,0.0,3.0,0.0,0.0,14,17,30,30,141,94,17,14,57,55,18610,17708,467,471,25126,20363,414235,636616,48876,39801,36818,34762,5134,1728,102,98,15,18,43063,40901
4,5.0,6.0,3.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,1212.0,366.0,636.0,740.0,379.0,1332.0,414.0,426.0,445.0,370.0,7.0,1.0,3.0,3.0,5.0,3.0,9.0,4.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,121.0,7.0,0.0,12.0,0.0,105.0,2.0,0.0,2.0,6.0,2.0,5.0,5.0,6.0,3.0,13.0,9.0,12.0,13.0,9.0,12.0,12.0,11.0,14.0,12.0,10738.0,2596.0,0.0,7274.0,1730.0,158.0,2336.0,5652.0,12425.0,1073.0,108.0,9.0,17.0,162.0,32.0,177.0,144.0,11.0,165.0,172.0,1163.0,321.0,11329.0,1072.0,1059.0,6190.0,5883.0,371.0,966.0,7166.0,2.0,0.0,65567.0,103945.0,242454.0,18627.0,55697.0,55236.0,150569.0,320857.0,443748.0,8226.0,1200447.0,12282.0,3514.0,12127.0,8587.0,3259.0,6536.0,8220.0,6448.0,13984.0,8239.0,8412.0,5256.0,9136.0,8400.0,5829.0,8732.0,8694.0,7416.0,9180.0,8439.0,7.0,7.0,380.0,596.0,798.0,240.0,469.0,188.0,0.0,424.0,592.0,0.0,10.0,75.0,4.0,10.0,33.0,10.0,9.0,5.0,14.0,12.0,200.0,10013.0,6050.0,9795.0,10809.0,5978.0,9498.0,8757.0,8160.0,12022.0,9169.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,0.0,7.0,0.0,9.0,21,21,30,30,140,111,21,21,59,58,19900,24082,496,501,20813,14707,437581,1027345,42791,40405,40509,38985,2075,1612,67,115,21,15,46093,44158
5,8.0,8.0,1.0,1.0,2.0,0.0,6.0,3.0,6.0,1.0,1476.0,460.0,1081.0,1237.0,87.0,107.0,777.0,777.0,73.0,439.0,2.0,4.0,2.0,0.0,5.0,6.0,5.0,4.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,104.0,4.0,4.0,0.0,0.0,105.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,5.0,5.0,13.0,9.0,12.0,13.0,10.0,8.0,11.0,11.0,12.0,10.0,0.0,2160.0,0.0,13987.0,263.0,1433.0,4942.0,681.0,7650.0,4526.0,170.0,26.0,23.0,155.0,120.0,23.0,134.0,22.0,130.0,142.0,6260.0,1484.0,13652.0,714.0,2921.0,144.0,2033.0,4762.0,2251.0,11896.0,0.0,1.0,144343.0,38657.0,304040.0,51883.0,16710.0,40062.0,35576.0,471675.0,207077.0,0.0,1200325.0,8388.0,4267.0,14466.0,15422.0,3277.0,1578.0,7281.0,5713.0,9902.0,16422.0,10351.0,5270.0,7581.0,9907.0,6417.0,4182.0,5852.0,6627.0,7313.0,8304.0,4.0,10.0,2128.0,622.0,814.0,720.0,91.0,0.0,305.0,269.0,0.0,0.0,8.0,23.0,15.0,10.0,7.0,15.0,13.0,9.0,9.0,10.0,100.0,10344.0,5388.0,8686.0,10439.0,6854.0,4576.0,8176.0,7861.0,9248.0,7076.0,1.0,0.0,1.0,4.0,2.0,9.0,0.0,0.0,5.0,1.0,0.0,15,16,30,30,120,105,16,15,56,53,15683,19959,491,454,23691,22426,557038,752985,43131,43585,38438,33366,3753,1196,55,64,13,23,40899,37749
6,6.0,10.0,5.0,6.0,12.0,1.0,4.0,1.0,4.0,0.0,836.0,621.0,450.0,1269.0,1680.0,934.0,47.0,108.0,180.0,1068.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,5.0,5.0,0.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,124.0,16.0,8.0,0.0,0.0,112.0,4.0,0.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,13.0,10.0,12.0,12.0,11.0,10.0,12.0,12.0,12.0,10.0,0.0,3805.0,6182.0,445.0,565.0,4252.0,223.0,8310.0,733.0,635.0,147.0,12.0,17.0,125.0,178.0,10.0,113.0,19.0,137.0,127.0,11112.0,758.0,654.0,7901.0,8184.0,899.0,3455.0,699.0,5867.0,4925.0,2.0,0.0,86107.0,134521.0,323467.0,56019.0,132895.0,64974.0,93472.0,392796.0,65323.0,3368.0,1200358.0,11178.0,4954.0,10573.0,8805.0,10168.0,5283.0,4825.0,9769.0,7138.0,6710.0,10411.0,5171.0,8690.0,7869.0,9809.0,6384.0,5637.0,8273.0,6480.0,6718.0,0.0,9.0,66.0,390.0,3737.0,458.0,1417.0,131.0,1146.0,759.0,536.0,1149.0,7.0,29.0,4.0,17.0,12.0,47.0,10.0,9.0,19.0,7.0,100.0,10445.0,6225.0,9410.0,9337.0,8399.0,6194.0,8680.0,8609.0,8590.0,7102.0,3.0,1.0,5.0,4.0,1.0,3.0,1.0,0.0,9.0,0.0,0.0,10,22,30,30,152,116,22,10,58,56,11444,13706,477,408,28750,15704,663462,689480,46007,33396,43163,32279,5809,3980,87,74,36,16,43785,39206
7,8.0,4.0,2.0,3.0,4.0,4.0,6.0,6.0,5.0,1.0,632.0,259.0,671.0,1872.0,798.0,448.0,1111.0,1317.0,1800.0,982.0,5.0,3.0,6.0,3.0,4.0,5.0,4.0,3.0,0.0,4.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,120.0,0.0,0.0,0.0,0.0,107.0,4.0,4.0,3.0,7.0,1.0,6.0,3.0,8.0,3.0,12.0,10.0,12.0,12.0,10.0,9.0,12.0,12.0,13.0,12.0,4990.0,4873.0,0.0,2710.0,1169.0,5863.0,933.0,256.0,12814.0,7171.0,125.0,3.0,21.0,162.0,120.0,6.0,132.0,10.0,133.0,189.0,3660.0,803.0,11544.0,1990.0,4143.0,1062.0,8747.0,5083.0,1101.0,260.0,1.0,1.0,224861.0,64223.0,246751.0,95985.0,12123.0,41196.0,274422.0,184717.0,38296.0,150051.0,1200447.0,8650.0,6724.0,12600.0,4700.0,5313.0,7715.0,10374.0,5556.0,14581.0,7431.0,6982.0,5943.0,9846.0,6992.0,5948.0,5803.0,8786.0,7602.0,9814.0,8857.0,6.0,2.0,0.0,1047.0,1055.0,0.0,0.0,790.0,694.0,217.0,666.0,0.0,8.0,49.0,5.0,5.0,10.0,24.0,11.0,5.0,7.0,9.0,200.0,8853.0,7132.0,9853.0,9950.0,6967.0,5794.0,9714.0,8849.0,10831.0,9546.0,4.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,23,14,30,30,122,115,14,23,55,59,14732,26047,434,467,22399,15994,620916,711709,38978,44666,35571,41002,1845,2624,52,81,17,29,41417,46072
8,3.0,3.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,0.0,910.0,914.0,184.0,355.0,447.0,566.0,1303.0,138.0,547.0,788.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,1.0,0.0,9.0,82.0,8.0,0.0,2.0,0.0,135.0,0.0,18.0,1.0,2.0,2.0,3.0,7.0,1.0,2.0,12.0,11.0,10.0,13.0,11.0,9.0,12.0,13.0,9.0,11.0,0.0,5488.0,953.0,5646.0,2436.0,3947.0,334.0,10283.0,3926.0,569.0,150.0,127.0,9.0,155.0,162.0,20.0,154.0,22.0,16.0,145.0,4107.0,1327.0,3096.0,351.0,6685.0,697.0,6673.0,609.0,631.0,8733.0,0.0,2.0,116665.0,27681.0,178971.0,55810.0,0.0,27253.0,32502.0,294849.0,174852.0,20080.0,1200353.0,4493.0,6815.0,4534.0,5998.0,9121.0,4645.0,7008.0,11811.0,4735.0,9302.0,6810.0,6689.0,6184.0,7870.0,7290.0,4306.0,9553.0,9353.0,5161.0,7913.0,8.0,6.0,386.0,0.0,484.0,0.0,0.0,0.0,0.0,919.0,178.0,0.0,11.0,5.0,3.0,13.0,12.0,47.0,13.0,3.0,34.0,11.0,200.0,9169.0,8434.0,6942.0,10298.0,7649.0,5421.0,9406.0,11029.0,5762.0,7847.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,15,9,30,30,92,162,9,14,55,56,12982,20600,496,464,14936,17973,378699,549964,28791,39671,32460,38669,870,1097,86,66,9,15,39479,42478
9,9.0,2.0,2.0,1.0,4.0,2.0,5.0,5.0,3.0,0.0,1355.0,1374.0,237.0,49.0,149.0,494.0,1100.0,1281.0,977.0,1491.0,4.0,2.0,4.0,4.0,5.0,6.0,1.0,4.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,16.0,148.0,0.0,0.0,5.0,6.0,3.0,5.0,6.0,1.0,6.0,12.0,10.0,13.0,12.0,11.0,9.0,14.0,13.0,12.0,12.0,704.0,7605.0,440.0,6930.0,634.0,1311.0,1819.0,790.0,4969.0,469.0,152.0,20.0,14.0,153.0,162.0,7.0,174.0,9.0,160.0,137.0,3339.0,506.0,9180.0,479.0,8767.0,231.0,11471.0,7145.0,751.0,4436.0,0.0,1.0,52587.0,79539.0,150007.0,429814.0,44926.0,67995.0,83200.0,165212.0,72604.0,91198.0,1200446.0,4939.0,9857.0,10068.0,7409.0,9461.0,2050.0,13350.0,8510.0,6318.0,4905.0,6655.0,7149.0,9627.0,6474.0,7249.0,3944.0,9920.0,9239.0,7107.0,8341.0,5.0,1.0,894.0,1746.0,448.0,0.0,60.0,508.0,60.0,575.0,597.0,0.0,6.0,21.0,5.0,6.0,5.0,5.0,7.0,3.0,35.0,27.0,200.0,8790.0,6863.0,10545.0,8930.0,7380.0,5817.0,11729.0,10526.0,9714.0,8721.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23,11,20,30,119,164,11,23,57,61,10019,15652,488,500,21996,24309,745329,491753,33927,42940,33949,41756,1910,2978,27,93,9,24,41462,47553
10,6.0,4.0,0.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,126.0,715.0,473.0,798.0,816.0,43.0,315.0,263.0,1660.0,527.0,2.0,1.0,3.0,4.0,2.0,2.0,5.0,0.0,3.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,124.0,2.0,3.0,0.0,4.0,4.0,138.0,4.0,0.0,2.0,0.0,3.0,3.0,6.0,1.0,11.0,9.0,11.0,12.0,11.0,10.0,12.0,13.0,13.0,10.0,1351.0,2634.0,797.0,9495.0,465.0,1770.0,3555.0,16372.0,5317.0,1641.0,100.0,7.0,9.0,155.0,158.0,5.0,114.0,161.0,22.0,135.0,5552.0,211.0,6328.0,967.0,12232.0,419.0,9204.0,107.0,1395.0,6318.0,0.0,2.0,69910.0,114495.0,137554.0,167370.0,16882.0,112436.0,404412.0,277365.0,250911.0,1587.0,1200396.0,6904.0,3321.0,8078.0,10462.0,12697.0,2189.0,12759.0,16479.0,9167.0,8648.0,6331.0,4380.0,6873.0,6868.0,6541.0,4573.0,6525.0,7838.0,9675.0,6212.0,11.0,0.0,0.0,475.0,952.0,0.0,0.0,0.0,0.0,0.0,2454.0,689.0,11.0,50.0,4.0,12.0,14.0,20.0,14.0,12.0,3.0,12.0,200.0,8540.0,5987.0,7852.0,9165.0,7447.0,6219.0,8933.0,10374.0,10015.0,6148.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,13,10,30,30,129,150,9,13,55,57,13878,29519,427,439,25498,17235,504152,1048770,40330,50374,31186,34630,952,3618,61,91,16,16,39223,41457
11,16.0,6.0,5.0,3.0,12.0,7.0,12.0,2.0,8.0,1.0,132.0,113.0,1448.0,537.0,825.0,771.0,333.0,61.0,592.0,1304.0,4.0,4.0,4.0,7.0,8.0,7.0,4.0,7.0,6.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,92.0,0.0,0.0,0.0,0.0,68.0,12.0,8.0,6.0,3.0,5.0,3.0,6.0,3.0,12.0,13.0,11.0,12.0,12.0,10.0,11.0,13.0,11.0,13.0,13.0,929.0,6862.0,2693.0,7160.0,1160.0,5682.0,7954.0,7124.0,0.0,2254.0,88.0,9.0,34.0,139.0,89.0,19.0,133.0,30.0,135.0,126.0,13281.0,932.0,4707.0,1006.0,6996.0,725.0,2388.0,1469.0,5888.0,15135.0,1.0,0.0,62630.0,34184.0,319406.0,494033.0,77664.0,133680.0,184007.0,575943.0,94642.0,15425.0,1200400.0,15679.0,8342.0,8176.0,8166.0,8156.0,7595.0,10790.0,9082.0,6328.0,19208.0,9731.0,8038.0,8173.0,8062.0,6960.0,7246.0,7493.0,8336.0,8507.0,10984.0,10.0,5.0,1468.0,548.0,774.0,0.0,0.0,1187.0,448.0,487.0,440.0,1818.0,5.0,15.0,7.0,10.0,44.0,23.0,78.0,7.0,12.0,6.0,200.0,10413.0,8112.0,8787.0,9553.0,6885.0,7784.0,9992.0,8209.0,10306.0,10055.0,4.0,0.0,5.0,3.0,0.0,4.0,3.0,0.0,11.0,1.0,0.0,30,26,30,30,104,88,26,30,58,61,17624,24194,369,433,26715,25812,1087413,904201,47772,53750,40172,43358,3429,3741,89,118,30,45,43422,46674
12,4.0,12.0,4.0,4.0,12.0,0.0,3.0,5.0,2.0,2.0,615.0,509.0,1094.0,337.0,125.0,107.0,1752.0,-87.0,75.0,3.0,4.0,7.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,4.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,1.0,0.0,4.0,98.0,0.0,0.0,0.0,8.0,143.0,0.0,0.0,2.0,2.0,5.0,4.0,3.0,1.0,2.0,12.0,12.0,11.0,12.0,11.0,9.0,14.0,12.0,9.0,10.0,7516.0,5200.0,0.0,14307.0,0.0,2941.0,9128.0,267.0,4180.0,159.0,121.0,118.0,16.0,122.0,164.0,31.0,155.0,11.0,24.0,142.0,543.0,50.0,8405.0,2584.0,8313.0,446.0,2351.0,5796.0,963.0,7052.0,0.0,1.0,410366.0,77142.0,185717.0,183630.0,27985.0,107483.0,241373.0,242201.0,100319.0,70352.0,1200419.0,8059.0,5250.0,9191.0,16891.0,8313.0,3387.0,12322.0,6478.0,5705.0,7212.0,5840.0,6599.0,7344.0,9232.0,9074.0,5306.0,8252.0,8163.0,4850.0,7378.0,10.0,3.0,0.0,0.0,786.0,0.0,0.0,0.0,842.0,414.0,561.0,0.0,3.0,8.0,6.0,16.0,24.0,46.0,85.0,3.0,40.0,14.0,200.0,9736.0,8600.0,8427.0,9284.0,7383.0,5363.0,12002.0,8683.0,5741.0,6236.0,2.0,0.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,12,20,30,30,98,155,20,12,55,57,24764,18934,454,450,20291,16212,915181,731387,45841,36967,36796,35242,786,1817,95,150,34,14,40193,41262
