,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_1,deathsplayer_6,riftherald_team200,ward_player_0,baron_team100,killsplayer_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,8.0,4.0,1.0,3.0,1.0,1.0,6.0,4.0,3.0,2.0,78.0,575.0,233.0,251.0,241.0,269.0,825.0,367.0,249.0,681.0,3.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,106.0,8.0,0.0,0.0,0.0,88.0,0.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,6.0,12.0,9.0,11.0,13.0,10.0,9.0,13.0,11.0,12.0,11.0,2375.0,3492.0,0.0,1270.0,275.0,4263.0,4991.0,792.0,279.0,350.0,155.0,29.0,12.0,160.0,133.0,21.0,140.0,15.0,147.0,158.0,3750.0,895.0,5003.0,5284.0,7248.0,290.0,1959.0,6690.0,12611.0,7130.0,1.0,1.0,637727.0,56513.0,206052.0,107698.0,70741.0,104596.0,41088.0,587502.0,98096.0,41216.0,1200306.0,6125.0,4997.0,5472.0,7644.0,7523.0,4554.0,9772.0,8129.0,13383.0,7496.0,7658.0,5745.0,6813.0,8076.0,6681.0,4719.0,6650.0,6292.0,7944.0,8981.0,8.0,9.0,0.0,609.0,468.0,1089.0,0.0,0.0,2822.0,647.0,492.0,16.0,6.0,44.0,3.0,20.0,11.0,23.0,12.0,6.0,10.0,15.0,200.0,9900.0,6057.0,8140.0,10892.0,6838.0,5249.0,10481.0,8144.0,9877.0,7523.0,0.0,0.0,0.0,0.0,0.0,0.0,17,10,30,30,117,88,10,17,55,56,8183,9904,481,489,21575,29285,1126814,824415,31318,43777,33947,35612,1557,4586,63,87,9,22,41019,42082
1,7.0,5.0,1.0,4.0,7.0,4.0,5.0,4.0,4.0,0.0,50.0,423.0,572.0,1294.0,987.0,694.0,275.0,772.0,482.0,528.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,102.0,0.0,0.0,0.0,4.0,102.0,0.0,8.0,0.0,2.0,3.0,4.0,3.0,4.0,0.0,7.0,4.0,1.0,11.0,8.0,11.0,12.0,10.0,9.0,12.0,11.0,13.0,10.0,2698.0,3125.0,7158.0,6823.0,1889.0,3436.0,5888.0,671.0,10725.0,1949.0,116.0,6.0,15.0,166.0,136.0,8.0,139.0,4.0,170.0,118.0,2678.0,467.0,356.0,307.0,7782.0,635.0,2736.0,7751.0,291.0,6033.0,1.0,0.0,592215.0,91516.0,470389.0,295101.0,53801.0,102357.0,200220.0,319827.0,62228.0,0.0,1200260.0,5377.0,4006.0,7660.0,7130.0,9864.0,4475.0,8624.0,9135.0,11094.0,7982.0,5600.0,5148.0,7297.0,8079.0,7312.0,6179.0,6335.0,8372.0,8132.0,6311.0,2.0,7.0,0.0,413.0,146.0,0.0,192.0,404.0,0.0,712.0,78.0,0.0,8.0,40.0,7.0,11.0,12.0,34.0,23.0,5.0,9.0,13.0,100.0,7511.0,4515.0,7595.0,9731.0,6679.0,5983.0,9022.0,8454.0,10111.0,7127.0,1.0,2.0,1.0,0.0,0.0,0.0,14,14,30,30,106,114,14,14,53,54,22004,22358,441,437,11758,17278,1513863,673791,34506,40841,34467,34298,742,1203,72,90,18,24,37499,39229
2,5.0,6.0,4.0,6.0,9.0,2.0,5.0,7.0,6.0,1.0,1247.0,309.0,126.0,837.0,1238.0,261.0,346.0,879.0,85.0,1147.0,1.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,5.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,2.0,0.0,8.0,107.0,112.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,5.0,2.0,4.0,5.0,0.0,2.0,13.0,11.0,11.0,11.0,12.0,8.0,12.0,12.0,8.0,11.0,603.0,205.0,8764.0,1487.0,147.0,3047.0,224.0,7945.0,1334.0,9933.0,157.0,34.0,21.0,116.0,147.0,28.0,148.0,152.0,24.0,129.0,8085.0,6131.0,832.0,5713.0,7221.0,2319.0,11741.0,2095.0,1228.0,381.0,1.0,0.0,45785.0,398621.0,144609.0,34941.0,76927.0,180750.0,24046.0,219389.0,42282.0,123391.0,1200413.0,8689.0,6870.0,10019.0,7743.0,7418.0,5681.0,12056.0,10679.0,3139.0,10315.0,8822.0,8524.0,7876.0,6550.0,8273.0,5261.0,7196.0,8529.0,4360.0,6617.0,10.0,3.0,0.0,534.0,422.0,542.0,50.0,314.0,90.0,638.0,576.0,0.0,6.0,8.0,57.0,6.0,11.0,23.0,8.0,4.0,22.0,11.0,200.0,10598.0,8141.0,8302.0,8395.0,9041.0,4943.0,9564.0,9345.0,4632.0,8365.0,3.0,4.0,1.0,0.0,0.0,0.0,15,18,30,30,124,111,18,15,55,54,14048,19641,469,487,24170,21576,483012,807729,39550,43059,36782,35226,1328,1838,103,53,28,25,41279,40047
3,15.0,3.0,5.0,1.0,3.0,6.0,13.0,12.0,6.0,1.0,377.0,1141.0,353.0,1146.0,326.0,405.0,1759.0,2209.0,388.0,1239.0,10.0,0.0,8.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,10.0,4.0,0.0,4.0,104.0,8.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,8.0,8.0,3.0,6.0,10.0,10.0,11.0,12.0,10.0,9.0,13.0,13.0,13.0,12.0,842.0,3341.0,6786.0,407.0,747.0,3580.0,3441.0,1296.0,8731.0,1052.0,100.0,17.0,33.0,145.0,152.0,5.0,120.0,33.0,130.0,174.0,7172.0,1070.0,1490.0,10187.0,2819.0,649.0,11003.0,11509.0,1525.0,7684.0,0.0,0.0,114876.0,85406.0,336917.0,101018.0,67537.0,25372.0,150301.0,180740.0,67638.0,448174.0,1200357.0,12875.0,5207.0,8756.0,10595.0,3621.0,4457.0,14809.0,14507.0,10923.0,8737.0,6002.0,6601.0,6453.0,7286.0,6261.0,4755.0,9744.0,9324.0,7443.0,9074.0,5.0,0.0,4860.0,795.0,480.0,0.0,54.0,228.0,364.0,1702.0,666.0,0.0,9.0,24.0,0.0,11.0,8.0,20.0,6.0,7.0,8.0,4.0,200.0,7054.0,7094.0,7457.0,8996.0,7237.0,6051.0,10009.0,10752.0,9960.0,9277.0,3.0,3.0,2.0,13.0,0.0,0.0,28,10,30,30,94,124,10,28,52,61,12362,17861,435,474,22317,32791,645720,932259,40304,54183,30757,42186,5622,3527,48,49,15,52,36795,47092
4,7.0,2.0,6.0,3.0,11.0,2.0,2.0,4.0,8.0,0.0,96.0,648.0,71.0,364.0,434.0,69.0,1417.0,73.0,288.0,37.0,2.0,5.0,3.0,4.0,5.0,2.0,6.0,5.0,5.0,3.0,0.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,123.0,0.0,19.0,0.0,0.0,72.0,4.0,0.0,2.0,1.0,4.0,2.0,12.0,3.0,6.0,6.0,2.0,0.0,12.0,10.0,12.0,13.0,13.0,10.0,13.0,11.0,12.0,12.0,3706.0,2267.0,1607.0,11294.0,0.0,7150.0,7891.0,1588.0,7368.0,796.0,135.0,9.0,29.0,153.0,149.0,11.0,171.0,14.0,98.0,149.0,2293.0,1037.0,6401.0,753.0,24188.0,495.0,1626.0,5590.0,915.0,5466.0,2.0,0.0,171037.0,91542.0,261169.0,218091.0,63636.0,132931.0,159536.0,428363.0,63188.0,69081.0,1200404.0,6059.0,3304.0,8619.0,12047.0,24649.0,7934.0,9517.0,7874.0,8284.0,6296.0,8021.0,5138.0,8746.0,8234.0,13983.0,6844.0,9002.0,7906.0,6603.0,6407.0,0.0,9.0,60.0,0.0,610.0,0.0,461.0,288.0,0.0,696.0,0.0,33.0,6.0,22.0,5.0,6.0,7.0,22.0,6.0,3.0,8.0,4.0,100.0,8961.0,6611.0,9099.0,11250.0,10413.0,6730.0,11223.0,7748.0,9188.0,8787.0,1.0,2.0,0.0,0.0,1.0,1.0,16,23,30,30,153,77,23,15,60,58,23757,19910,477,441,34130,14634,846864,811710,59308,35275,45828,35056,1419,729,46,43,23,23,46453,43557
5,9.0,9.0,2.0,2.0,7.0,4.0,6.0,6.0,6.0,0.0,135.0,1327.0,451.0,362.0,244.0,339.0,44.0,626.0,218.0,416.0,5.0,3.0,6.0,5.0,4.0,3.0,6.0,4.0,6.0,4.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,103.0,0.0,4.0,0.0,4.0,80.0,0.0,4.0,6.0,4.0,5.0,7.0,5.0,0.0,3.0,4.0,4.0,8.0,13.0,10.0,12.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,0.0,8971.0,1004.0,906.0,1678.0,1651.0,43.0,3905.0,12767.0,629.0,159.0,12.0,18.0,77.0,124.0,35.0,91.0,7.0,113.0,149.0,13887.0,700.0,8730.0,6715.0,6604.0,1754.0,8535.0,4333.0,1756.0,9224.0,1.0,1.0,131973.0,85685.0,155886.0,0.0,792.0,33827.0,73367.0,320659.0,309521.0,361014.0,1200401.0,14043.0,10312.0,10516.0,7977.0,8282.0,3406.0,10428.0,9610.0,15614.0,9952.0,9234.0,6277.0,8501.0,7632.0,7574.0,4838.0,6539.0,6726.0,7368.0,9611.0,2.0,9.0,156.0,640.0,781.0,356.0,0.0,0.0,1849.0,1371.0,1091.0,98.0,7.0,21.0,0.0,58.0,11.0,29.0,10.0,155.0,9.0,11.0,100.0,10512.0,6602.0,8774.0,6933.0,7663.0,6167.0,8153.0,8247.0,8444.0,8493.0,2.0,4.0,0.0,1.0,1.0,0.0,23,23,30,30,107,92,23,23,56,54,5239,26315,413,372,37690,24548,322478,1150246,44224,55916,37779,36521,1293,5049,105,206,22,31,40049,39939
6,11.0,5.0,6.0,4.0,8.0,1.0,6.0,6.0,6.0,1.0,1187.0,326.0,366.0,426.0,44.0,428.0,1369.0,571.0,1307.0,217.0,6.0,3.0,4.0,6.0,5.0,5.0,6.0,4.0,6.0,4.0,1.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,105.0,1.0,0.0,0.0,12.0,56.0,37.0,5.0,12.0,2.0,9.0,1.0,4.0,3.0,8.0,9.0,4.0,3.0,14.0,10.0,13.0,11.0,11.0,9.0,12.0,10.0,14.0,10.0,123.0,1244.0,1237.0,9643.0,1471.0,5524.0,1323.0,0.0,3545.0,1625.0,110.0,30.0,44.0,100.0,140.0,10.0,117.0,20.0,138.0,148.0,14399.0,657.0,7901.0,1174.0,12984.0,1079.0,8994.0,7984.0,4338.0,10259.0,1.0,0.0,121213.0,26956.0,387200.0,151649.0,102507.0,50208.0,78509.0,155659.0,217843.0,0.0,1200423.0,15199.0,2099.0,9367.0,10817.0,14455.0,7347.0,10790.0,9784.0,8067.0,11885.0,11061.0,5561.0,10286.0,6006.0,7394.0,6003.0,9348.0,8671.0,8597.0,7717.0,6.0,11.0,677.0,198.0,228.0,0.0,0.0,744.0,472.0,1799.0,184.0,0.0,6.0,24.0,11.0,14.0,16.0,51.0,13.0,10.0,14.0,12.0,100.0,11526.0,6989.0,10742.0,8359.0,7664.0,5683.0,9485.0,7285.0,11475.0,6830.0,2.0,10.0,1.0,0.0,2.0,0.0,26,29,30,30,112,110,29,26,58,56,17998,7737,404,453,37537,32232,812777,478967,57185,42625,40750,39894,1649,2653,98,73,25,30,43974,42064
7,8.0,5.0,4.0,5.0,6.0,0.0,3.0,2.0,3.0,1.0,1533.0,467.0,29.0,903.0,706.0,401.0,148.0,1002.0,445.0,744.0,2.0,3.0,1.0,4.0,6.0,3.0,4.0,2.0,4.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,125.0,0.0,4.0,0.0,14.0,112.0,8.0,0.0,5.0,4.0,8.0,3.0,1.0,1.0,2.0,6.0,1.0,3.0,13.0,11.0,13.0,12.0,10.0,10.0,12.0,12.0,12.0,10.0,6394.0,5523.0,1680.0,6931.0,232.0,3025.0,351.0,9187.0,441.0,3099.0,154.0,2.0,20.0,125.0,143.0,17.0,148.0,36.0,154.0,152.0,940.0,1033.0,12668.0,1157.0,4338.0,3623.0,7602.0,1602.0,4342.0,5272.0,1.0,1.0,26062.0,36996.0,216385.0,350596.0,94170.0,186263.0,120679.0,205862.0,90896.0,0.0,1200345.0,7825.0,7318.0,14916.0,8633.0,4570.0,7445.0,8368.0,11615.0,5050.0,8422.0,8608.0,6812.0,10544.0,7553.0,7031.0,5140.0,8018.0,8577.0,7130.0,7597.0,9.0,4.0,490.0,761.0,568.0,544.0,0.0,797.0,415.0,825.0,267.0,50.0,14.0,45.0,6.0,12.0,55.0,57.0,13.0,7.0,15.0,15.0,200.0,10081.0,7497.0,10849.0,9825.0,7272.0,6525.0,9442.0,9842.0,9842.0,7010.0,1.0,5.0,0.0,0.0,1.0,0.0,16,18,30,30,129,134,18,16,58,57,18262,18601,459,492,22726,19851,873476,454433,43389,40773,38876,38134,2399,2318,144,95,21,16,44552,43633
8,3.0,7.0,5.0,1.0,10.0,2.0,4.0,4.0,2.0,0.0,1004.0,595.0,75.0,1807.0,1201.0,1099.0,769.0,106.0,358.0,653.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,0.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,135.0,0.0,0.0,0.0,4.0,67.0,0.0,0.0,4.0,1.0,4.0,9.0,1.0,0.0,3.0,3.0,1.0,3.0,12.0,8.0,12.0,13.0,10.0,10.0,12.0,10.0,11.0,10.0,461.0,1679.0,750.0,169.0,491.0,3410.0,8052.0,907.0,8484.0,860.0,103.0,32.0,5.0,113.0,161.0,36.0,138.0,16.0,126.0,100.0,3387.0,1172.0,7465.0,8596.0,7016.0,148.0,2308.0,3898.0,1501.0,5050.0,0.0,0.0,32309.0,38317.0,284404.0,133429.0,26700.0,35507.0,131843.0,300751.0,306206.0,496.0,1200430.0,4103.0,3150.0,8215.0,11866.0,7507.0,3912.0,10810.0,4974.0,10439.0,5911.0,7104.0,5300.0,8200.0,8715.0,6931.0,5274.0,7869.0,6791.0,6458.0,6903.0,4.0,7.0,254.0,298.0,0.0,3100.0,0.0,354.0,449.0,168.0,453.0,0.0,3.0,27.0,6.0,10.0,4.0,24.0,56.0,7.0,7.0,8.0,100.0,8729.0,4746.0,9458.0,9973.0,6734.0,6617.0,9249.0,6256.0,8543.0,6330.0,3.0,3.0,1.0,0.0,1.0,0.0,11,18,30,30,140,71,18,11,57,51,5281,19982,418,412,26612,13929,512349,777613,35603,35284,36224,33321,3708,1368,47,105,26,15,41511,35124
9,7.0,3.0,6.0,1.0,3.0,1.0,7.0,8.0,1.0,2.0,206.0,419.0,1611.0,125.0,883.0,534.0,966.0,324.0,722.0,1296.0,3.0,1.0,5.0,5.0,5.0,6.0,5.0,3.0,0.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,119.0,12.0,8.0,0.0,0.0,100.0,0.0,20.0,4.0,3.0,5.0,3.0,1.0,0.0,4.0,4.0,3.0,10.0,12.0,10.0,11.0,13.0,10.0,9.0,11.0,11.0,11.0,13.0,375.0,3468.0,963.0,8378.0,606.0,3714.0,6899.0,0.0,0.0,4630.0,116.0,32.0,15.0,157.0,121.0,26.0,125.0,14.0,66.0,165.0,6844.0,1593.0,5827.0,1085.0,5369.0,349.0,2080.0,7552.0,4789.0,12497.0,0.0,0.0,56584.0,68603.0,214048.0,313987.0,825.0,96604.0,128699.0,166426.0,99002.0,33661.0,1200411.0,8167.0,5425.0,7138.0,9463.0,5976.0,4171.0,9740.0,8044.0,5965.0,17210.0,7491.0,6164.0,8186.0,8270.0,6108.0,4049.0,7856.0,7674.0,7758.0,10729.0,9.0,6.0,948.0,364.0,348.0,0.0,0.0,107.0,761.0,492.0,1175.0,82.0,7.0,40.0,1.0,14.0,9.0,24.0,72.0,2.0,14.0,12.0,200.0,9184.0,6351.0,8027.0,10135.0,6925.0,5610.0,8494.0,8573.0,7897.0,10643.0,3.0,4.0,1.0,0.0,0.0,0.0,24,13,30,50,139,120,13,24,55,56,14036,14997,435,402,19474,28511,682048,496391,34915,46384,34104,40181,1403,2874,55,140,16,24,39881,41958
10,10.0,3.0,3.0,2.0,4.0,8.0,4.0,13.0,2.0,2.0,882.0,549.0,560.0,956.0,293.0,135.0,1228.0,504.0,516.0,878.0,9.0,3.0,3.0,5.0,4.0,9.0,1.0,2.0,5.0,1.0,4.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,112.0,0.0,4.0,0.0,0.0,101.0,8.0,8.0,0.0,3.0,4.0,6.0,3.0,3.0,4.0,14.0,2.0,7.0,11.0,10.0,11.0,12.0,11.0,9.0,12.0,13.0,13.0,10.0,3093.0,198.0,1220.0,9797.0,2498.0,3691.0,14927.0,598.0,11281.0,2120.0,107.0,36.0,10.0,108.0,146.0,20.0,117.0,46.0,145.0,115.0,9390.0,4506.0,7221.0,1239.0,6525.0,1406.0,3966.0,15906.0,1531.0,8684.0,0.0,0.0,370780.0,70776.0,211423.0,30965.0,0.0,143312.0,851505.0,558185.0,175216.0,171559.0,1200408.0,12483.0,5837.0,8976.0,11037.0,9244.0,5439.0,18893.0,17240.0,12963.0,11348.0,6082.0,7499.0,7450.0,7996.0,7403.0,5135.0,7493.0,11079.0,8441.0,9028.0,10.0,4.0,0.0,1132.0,534.0,0.0,220.0,342.0,0.0,735.0,149.0,543.0,7.0,26.0,2.0,10.0,7.0,37.0,6.0,8.0,13.0,8.0,200.0,8313.0,6961.0,7875.0,8670.0,8027.0,5143.0,9685.0,10614.0,10925.0,7197.0,4.0,5.0,1.0,0.0,0.0,0.0,30,16,30,30,120,117,16,30,54,58,20299,29124,391,459,25781,34593,756480,1827241,47179,66281,34066,43540,1096,2559,63,61,16,37,38028,45382
11,8.0,3.0,4.0,2.0,3.0,3.0,1.0,9.0,1.0,0.0,409.0,567.0,562.0,374.0,1718.0,177.0,1381.0,320.0,536.0,1249.0,2.0,0.0,7.0,11.0,1.0,5.0,4.0,4.0,1.0,0.0,2.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,74.0,0.0,4.0,0.0,12.0,129.0,0.0,4.0,4.0,1.0,3.0,0.0,2.0,2.0,2.0,8.0,7.0,8.0,13.0,10.0,10.0,11.0,12.0,10.0,13.0,13.0,13.0,11.0,0.0,1457.0,6054.0,424.0,567.0,3064.0,17.0,350.0,15451.0,1787.0,110.0,33.0,7.0,104.0,160.0,4.0,152.0,21.0,129.0,155.0,7449.0,293.0,1046.0,3454.0,6206.0,1051.0,13462.0,9631.0,2085.0,10994.0,0.0,1.0,44457.0,94728.0,127266.0,74312.0,59419.0,83963.0,165238.0,271073.0,339869.0,51536.0,1200390.0,7681.0,2101.0,7964.0,4031.0,6774.0,4411.0,13666.0,10610.0,17959.0,13105.0,7199.0,5617.0,6597.0,5669.0,7468.0,4902.0,7906.0,8885.0,9756.0,8974.0,5.0,1.0,232.0,350.0,864.0,152.0,0.0,295.0,186.0,628.0,422.0,324.0,6.0,18.0,41.0,6.0,7.0,65.0,5.0,1.0,6.0,6.0,200.0,10507.0,7049.0,7081.0,7571.0,8653.0,6506.0,10569.0,10553.0,10428.0,7729.0,0.0,2.0,0.0,48.0,0.0,0.0,26,11,30,30,86,145,11,26,56,60,10109,19062,385,490,19206,36465,389417,922444,30861,57441,31835,41138,1543,1910,125,36,12,22,40318,46328
12,12.0,2.0,1.0,0.0,4.0,9.0,1.0,5.0,6.0,1.0,317.0,484.0,-14.0,135.0,173.0,392.0,1254.0,116.0,155.0,820.0,2.0,3.0,4.0,5.0,10.0,6.0,0.0,2.0,3.0,0.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,80.0,8.0,9.0,0.0,0.0,127.0,17.0,8.0,4.0,4.0,0.0,3.0,1.0,1.0,0.0,10.0,5.0,8.0,12.0,10.0,11.0,11.0,10.0,8.0,13.0,13.0,13.0,13.0,435.0,3846.0,1343.0,1179.0,354.0,5310.0,3149.0,1257.0,10370.0,2114.0,139.0,9.0,27.0,134.0,123.0,19.0,121.0,35.0,170.0,184.0,6086.0,782.0,603.0,3602.0,5455.0,671.0,3370.0,6179.0,1397.0,13856.0,1.0,1.0,134063.0,167020.0,145597.0,76518.0,66884.0,115266.0,163256.0,232969.0,301342.0,34612.0,1200356.0,9059.0,5308.0,1988.0,5820.0,6065.0,6378.0,6722.0,7590.0,11767.0,17235.0,8042.0,7484.0,6211.0,7045.0,6038.0,5207.0,6254.0,9956.0,9399.0,10289.0,8.0,2.0,2537.0,680.0,40.0,1038.0,254.0,396.0,203.0,154.0,0.0,1265.0,10.0,35.0,21.0,8.0,4.0,24.0,107.0,5.0,10.0,10.0,200.0,9199.0,6310.0,7737.0,8216.0,7200.0,4684.0,10002.0,10611.0,11193.0,10027.0,1.0,1.0,0.0,1.0,0.0,0.0,27,9,30,30,101,153,9,27,52,62,8621,20736,442,519,16417,25584,538328,899199,29310,48622,32543,43382,4265,2302,67,167,8,33,37036,48143
