,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_7,assistsplayer_8,assistsplayer_9,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_9,dragon_team100,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,riftherald_team200,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_1,baron_team100,deathsplayer_7,deathsplayer_8,inhibs_lost_team200,killsplayer_2,riftherald_team300,inhibs_lost_team100,assistsplayer_6,ward_player_0,baron_team200,killsplayer_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,8.0,5.0,2.0,3.0,5.0,2.0,5.0,6.0,378.0,278.0,1234.0,830.0,915.0,368.0,1423.0,793.0,530.0,486.0,2.0,1.0,4.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.16.390.1945,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1.0,0.0,0.0,12.0,126.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,13.0,12.0,478.0,3796.0,4052.0,6369.0,529.0,3255.0,39.0,645.0,8924.0,634.0,174.0,18.0,20.0,146.0,126.0,5.0,158.0,10.0,166.0,163.0,2344.0,1062.0,244.0,204.0,6609.0,552.0,7739.0,4003.0,372.0,6859.0,1.0,1.0,48352.0,17901.0,213170.0,113900.0,792.0,24773.0,120514.0,369715.0,156880.0,415261.0,1200395.0,4214.0,5000.0,4844.0,6645.0,7173.0,4307.0,7778.0,5010.0,9296.0,7493.0,7818.0,6128.0,6619.0,6685.0,6215.0,4793.0,8188.0,7993.0,8100.0,8536.0,3.0,1.0,1391.0,142.0,547.0,71.0,35.0,498.0,0.0,362.0,0.0,0.0,4.0,25.0,6.0,6.0,9.0,14.0,5.0,5.0,9.0,8.0,200.0,9728.0,6131.0,9139.0,9225.0,6373.0,6366.0,9933.0,8693.0,10828.0,8612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,30,30,132,146,7,15,56,59,14683,14038,471,515,9953,20035,400987,1080271,27183,34577,32130,38945,2542,504,39,52,15,21,40831,44197
1,4.0,6.0,6.0,3.0,6.0,1.0,0.0,2.0,280.0,684.0,2395.0,516.0,240.0,200.0,532.0,607.0,202.0,95.0,4.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,104.0,6.0,0.0,0.0,4.0,120.0,0.0,12.0,3.0,1.0,2.0,4.0,2.0,5.0,1.0,0.0,3.0,13.0,9.0,12.0,13.0,11.0,10.0,14.0,11.0,11.0,11.0,10499.0,5948.0,13.0,15259.0,630.0,2195.0,0.0,301.0,3387.0,0.0,141.0,38.0,17.0,165.0,148.0,25.0,167.0,21.0,128.0,168.0,1464.0,654.0,8161.0,1017.0,7777.0,720.0,11253.0,6614.0,1227.0,4814.0,1.0,0.0,74614.0,141799.0,245908.0,163272.0,81144.0,30781.0,180888.0,360815.0,9248.0,1155.0,1200327.0,11963.0,7193.0,8870.0,16357.0,8408.0,3253.0,12444.0,7302.0,5204.0,7168.0,7160.0,5119.0,8245.0,7826.0,8190.0,4995.0,9411.0,6657.0,5582.0,8360.0,3.0,9.0,0.0,590.0,696.0,80.0,0.0,338.0,1190.0,387.0,590.0,2354.0,7.0,28.0,3.0,9.0,17.0,27.0,8.0,3.0,9.0,7.0,100.0,10217.0,5853.0,9067.0,10760.0,8498.0,6122.0,12303.0,7719.0,7875.0,8574.0,3.0,1.0,5.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10,15,30,30,114,136,15,10,59,56,28596,9636,496,522,19139,24562,595719,693905,48851,39311,36416,35129,1114,5111,63,55,24,7,44664,42324
2,6.0,7.0,5.0,2.0,3.0,4.0,5.0,0.0,1318.0,132.0,1300.0,152.0,2248.0,283.0,936.0,581.0,399.0,148.0,0.0,3.0,1.0,3.0,1.0,2.0,6.0,0.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,17.0,0.0,101.0,0.0,5.0,0.0,0.0,116.0,0.0,4.0,5.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,13.0,8.0,11.0,12.0,11.0,9.0,12.0,11.0,11.0,11.0,2503.0,2413.0,1666.0,7305.0,0.0,0.0,2094.0,1159.0,8423.0,975.0,163.0,7.0,9.0,139.0,165.0,28.0,155.0,16.0,131.0,147.0,13378.0,1347.0,795.0,173.0,2821.0,3650.0,6012.0,5592.0,1981.0,5679.0,1.0,0.0,81434.0,19157.0,161969.0,227243.0,82475.0,64415.0,35314.0,207240.0,158507.0,37398.0,1200407.0,16704.0,3760.0,2996.0,7478.0,3147.0,4280.0,8107.0,6953.0,10405.0,6761.0,10193.0,4647.0,6915.0,6012.0,7398.0,5403.0,6886.0,6971.0,6094.0,7831.0,8.0,4.0,822.0,0.0,533.0,0.0,326.0,629.0,0.0,201.0,0.0,106.0,10.0,35.0,31.0,10.0,13.0,50.0,9.0,8.0,17.0,8.0,200.0,10182.0,4695.0,8338.0,8608.0,8426.0,5153.0,9318.0,7814.0,8307.0,7613.0,3.0,1.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,7,13,30,30,123,120,13,7,56,53,11474,15064,504,456,20817,20611,617536,457616,34605,35986,35921,32429,2310,307,114,77,20,15,40707,37747
3,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,284.0,1012.0,1188.0,1069.0,1840.0,373.0,214.0,496.0,602.0,833.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,4.0,7.0,0.0,20.0,104.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,11.0,9.0,12.0,13.0,12.0,8.0,13.0,11.0,12.0,11.0,1846.0,2092.0,6300.0,2106.0,443.0,2125.0,0.0,7983.0,5344.0,37.0,129.0,12.0,14.0,192.0,171.0,24.0,152.0,21.0,164.0,170.0,2496.0,505.0,213.0,5094.0,4564.0,883.0,5333.0,209.0,431.0,4306.0,0.0,1.0,152126.0,79900.0,400950.0,92120.0,120528.0,74110.0,67840.0,188756.0,144279.0,10471.0,1200359.0,4851.0,3003.0,6845.0,8189.0,5294.0,3123.0,5667.0,8855.0,5775.0,4343.0,5934.0,4937.0,7288.0,7574.0,8340.0,4748.0,8489.0,7221.0,7222.0,7233.0,4.0,8.0,508.0,406.0,331.0,988.0,286.0,114.0,334.0,662.0,0.0,0.0,144.0,71.0,8.0,11.0,8.0,126.0,11.0,10.0,13.0,9.0,100.0,8426.0,5227.0,8950.0,10709.0,9493.0,4845.0,10468.0,8114.0,9432.0,7640.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,6.0,79.0,0.0,0.0,8,7,30,30,148,128,7,8,56,56,12820,15456,530,519,13250,10784,839834,491246,28302,27643,33884,35102,2227,1402,297,114,11,13,42423,40881
4,9.0,3.0,8.0,9.0,3.0,4.0,4.0,5.0,1155.0,634.0,1522.0,280.0,390.0,399.0,1200.0,411.0,896.0,446.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,12.0,108.0,0.0,0.0,5.0,0.0,2.0,1.0,6.0,2.0,7.0,5.0,3.0,13.0,10.0,13.0,12.0,9.0,11.0,12.0,12.0,12.0,11.0,710.0,3260.0,1295.0,10508.0,4424.0,955.0,2363.0,3902.0,7685.0,0.0,144.0,9.0,37.0,109.0,25.0,154.0,122.0,23.0,151.0,127.0,6025.0,1199.0,6364.0,279.0,1278.0,8000.0,5313.0,5062.0,591.0,10198.0,0.0,1.0,152641.0,76026.0,182925.0,95604.0,38419.0,825.0,57010.0,593582.0,189877.0,17255.0,1200350.0,8085.0,5134.0,8304.0,11265.0,6911.0,9015.0,7677.0,10537.0,9236.0,10198.0,7920.0,4959.0,9672.0,6805.0,5440.0,8564.0,6660.0,9326.0,8871.0,6601.0,11.0,2.0,1348.0,673.0,644.0,477.0,1208.0,59.0,0.0,1572.0,959.0,0.0,14.0,106.0,4.0,10.0,28.0,6.0,12.0,2.0,11.0,10.0,200.0,10687.0,6760.0,10222.0,8944.0,5719.0,7912.0,9325.0,9363.0,9374.0,7847.0,3.0,0.0,4.0,6.0,0.0,8.0,1.0,3.0,2.0,81.0,2.0,0.0,17,22,30,30,102,120,22,17,58,57,17892,17210,469,432,21946,22363,470414,933750,43580,42782,38401,36417,3736,3204,62,141,26,24,43484,42669
5,3.0,6.0,0.0,3.0,3.0,2.0,4.0,1.0,584.0,452.0,311.0,491.0,1740.0,236.0,494.0,781.0,771.0,799.0,4.0,1.0,3.0,5.0,0.0,3.0,9.0,0.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,16.0,0.0,105.0,0.0,8.0,0.0,0.0,97.0,12.0,0.0,8.0,1.0,3.0,1.0,3.0,1.0,6.0,6.0,1.0,14.0,9.0,12.0,12.0,11.0,8.0,12.0,11.0,14.0,10.0,2096.0,2595.0,1946.0,9285.0,1580.0,4950.0,1669.0,629.0,6949.0,1287.0,155.0,9.0,18.0,153.0,161.0,11.0,146.0,32.0,156.0,121.0,14574.0,413.0,490.0,1026.0,2064.0,264.0,5637.0,6880.0,559.0,141.0,2.0,0.0,112993.0,24242.0,419286.0,94564.0,26070.0,109531.0,32567.0,134545.0,658412.0,147869.0,1200312.0,16670.0,3085.0,2561.0,11403.0,3765.0,5635.0,7306.0,7603.0,8600.0,1429.0,10984.0,4327.0,6711.0,7351.0,7415.0,5486.0,6334.0,8071.0,8981.0,5899.0,8.0,9.0,0.0,76.0,124.0,1091.0,120.0,420.0,0.0,93.0,1090.0,0.0,12.0,39.0,9.0,43.0,12.0,37.0,15.0,5.0,12.0,13.0,200.0,11554.0,5731.0,8630.0,8955.0,8551.0,4512.0,8891.0,7894.0,11946.0,6925.0,3.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,15,15,30,30,129,109,15,15,57,56,19857,13129,498,464,18418,13630,762444,997635,40034,28023,37947,33612,1755,1259,113,84,15,12,42202,41387
6,3.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,553.0,327.0,1654.0,60.0,1452.0,21.0,402.0,18.0,227.0,128.0,4.0,2.0,0.0,2.0,1.0,0.0,3.0,4.0,4.0,0.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,8.0,0.0,117.0,0.0,4.0,0.0,0.0,99.0,12.0,0.0,2.0,1.0,5.0,3.0,4.0,4.0,0.0,2.0,0.0,11.0,8.0,11.0,12.0,11.0,9.0,12.0,11.0,11.0,10.0,5409.0,1372.0,338.0,10199.0,2739.0,6172.0,941.0,4406.0,2651.0,1334.0,115.0,14.0,37.0,144.0,133.0,23.0,137.0,18.0,131.0,116.0,1692.0,410.0,5149.0,271.0,4982.0,851.0,9031.0,1081.0,1466.0,4074.0,2.0,0.0,34778.0,58405.0,301029.0,161928.0,0.0,194886.0,13513.0,362128.0,147446.0,96702.0,1200351.0,7335.0,1783.0,5758.0,10470.0,7722.0,7420.0,13081.0,5746.0,4118.0,5409.0,7348.0,4227.0,7679.0,8770.0,8135.0,6806.0,7527.0,5903.0,6267.0,5153.0,0.0,9.0,234.0,0.0,271.0,0.0,0.0,396.0,3107.0,259.0,0.0,0.0,7.0,25.0,5.0,4.0,4.0,19.0,9.0,3.0,6.0,9.0,100.0,8160.0,4596.0,8402.0,9756.0,7760.0,5541.0,9098.0,7843.0,7751.0,6134.0,3.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,15,30,30,129,111,15,7,54,52,24857,10704,452,416,12945,16062,692621,678194,38705,30137,38738,29077,901,3366,39,52,15,11,39619,35422
7,4.0,10.0,7.0,5.0,4.0,2.0,3.0,4.0,1382.0,397.0,312.0,676.0,913.0,344.0,83.0,2178.0,1087.0,140.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.18.395.7538,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,0.0,0.0,12.0,129.0,28.0,0.0,1.0,2.0,7.0,2.0,3.0,3.0,3.0,5.0,3.0,11.0,9.0,11.0,11.0,11.0,10.0,12.0,12.0,13.0,10.0,6762.0,2379.0,2301.0,10438.0,824.0,7946.0,3410.0,0.0,0.0,6654.0,109.0,27.0,30.0,93.0,149.0,20.0,125.0,11.0,134.0,130.0,3805.0,1198.0,11239.0,1444.0,4766.0,548.0,7316.0,6789.0,6771.0,390.0,1.0,0.0,369765.0,47336.0,433258.0,9086.0,317020.0,113464.0,102858.0,205205.0,79172.0,192829.0,1200349.0,10567.0,3941.0,14829.0,12413.0,5857.0,10578.0,11491.0,7843.0,7146.0,7044.0,5782.0,4857.0,8937.0,8016.0,6913.0,5954.0,7873.0,7878.0,9686.0,7325.0,4.0,7.0,0.0,364.0,1288.0,530.0,266.0,2083.0,764.0,1054.0,375.0,0.0,13.0,35.0,17.0,9.0,6.0,32.0,4.0,5.0,5.0,13.0,100.0,7935.0,5816.0,7847.0,8196.0,8018.0,6717.0,9639.0,8582.0,10540.0,6934.0,4.0,2.0,6.0,2.0,2.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,16,20,30,30,68,169,20,16,54,56,28271,12443,401,427,21802,22464,1242593,627400,54244,37465,35602,37619,4167,2557,77,62,30,19,38713,41511
8,4.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1383.0,392.0,472.0,226.0,442.0,434.0,424.0,716.0,-168.0,745.0,3.0,2.0,0.0,1.0,2.0,3.0,5.0,4.0,4.0,0.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,4.0,0.0,0.0,0.0,117.0,1.0,8.0,4.0,1.0,9.0,0.0,0.0,4.0,2.0,1.0,1.0,14.0,9.0,13.0,13.0,11.0,8.0,12.0,11.0,12.0,11.0,2421.0,3174.0,548.0,12923.0,53.0,1527.0,80.0,484.0,6977.0,186.0,169.0,45.0,11.0,148.0,162.0,11.0,144.0,10.0,173.0,165.0,7434.0,957.0,8763.0,327.0,3997.0,278.0,7808.0,4142.0,349.0,3306.0,2.0,0.0,32436.0,62386.0,183829.0,193236.0,23943.0,70751.0,39204.0,432729.0,65229.0,102353.0,1200314.0,9856.0,4599.0,9696.0,13840.0,4536.0,2064.0,10992.0,4706.0,7327.0,3492.0,9103.0,5157.0,8687.0,9110.0,7062.0,4034.0,7694.0,6716.0,6587.0,7005.0,0.0,8.0,0.0,468.0,384.0,590.0,485.0,258.0,3103.0,80.0,0.0,0.0,7.0,29.0,4.0,7.0,5.0,23.0,7.0,11.0,7.0,33.0,100.0,11966.0,6045.0,10392.0,11006.0,8191.0,5019.0,8753.0,8034.0,8966.0,7689.0,3.0,0.0,3.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9,20,30,30,139,126,20,9,59,55,17472,10901,501,537,20799,16562,504195,701901,39992,31116,37996,33159,1717,3651,46,87,15,9,46574,39487
9,6.0,1.0,5.0,4.0,9.0,6.0,3.0,5.0,369.0,159.0,68.0,460.0,319.0,702.0,65.0,555.0,298.0,327.0,3.0,4.0,6.0,1.0,3.0,7.0,3.0,0.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,4.0,76.0,1.0,8.0,0.0,0.0,140.0,8.0,4.0,1.0,2.0,5.0,1.0,0.0,5.0,2.0,5.0,6.0,12.0,9.0,10.0,11.0,10.0,10.0,13.0,11.0,12.0,12.0,4930.0,1474.0,219.0,9072.0,119.0,1654.0,9012.0,895.0,1129.0,1135.0,107.0,23.0,22.0,124.0,133.0,27.0,143.0,6.0,123.0,184.0,1000.0,957.0,6186.0,1019.0,5717.0,1472.0,1357.0,7370.0,5006.0,7261.0,1.0,1.0,326373.0,34312.0,116231.0,380859.0,22922.0,42341.0,95451.0,113150.0,114827.0,103470.0,1200276.0,5930.0,2929.0,6621.0,10563.0,6366.0,3126.0,10556.0,8614.0,6135.0,8682.0,6079.0,5654.0,6953.0,7415.0,6269.0,4562.0,8325.0,7545.0,8193.0,9477.0,4.0,0.0,0.0,497.0,216.0,471.0,529.0,0.0,186.0,348.0,0.0,286.0,6.0,14.0,1.0,6.0,6.0,18.0,8.0,2.0,6.0,31.0,200.0,8757.0,5214.0,6794.0,8557.0,7163.0,6184.0,10178.0,8554.0,9595.0,8872.0,7.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,20,13,30,30,86,156,12,20,53,57,15994,13645,413,479,15394,21951,888726,461210,32606,36916,31278,39194,1216,1317,37,61,26,23,37455,42413
10,5.0,0.0,0.0,1.0,3.0,25.0,5.0,1.0,781.0,52.0,445.0,453.0,417.0,326.0,124.0,96.0,159.0,518.0,7.0,1.0,10.0,7.0,5.0,8.0,6.0,4.0,0.0,2.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,66.0,2.0,4.0,0.0,0.0,0.0,12.0,0.0,12.0,99.0,3.0,4.0,2.0,7.0,0.0,3.0,3.0,18.0,9.0,11.0,13.0,10.0,10.0,12.0,8.0,12.0,12.0,12.0,12.0,397.0,9275.0,515.0,5330.0,6460.0,1496.0,693.0,4847.0,6169.0,268.0,22.0,140.0,98.0,86.0,121.0,13.0,134.0,1.0,137.0,21.0,7694.0,1365.0,4624.0,835.0,3788.0,1139.0,9059.0,1251.0,18593.0,6732.0,1.0,0.0,131498.0,66886.0,34348.0,279484.0,41095.0,17771.0,79003.0,104239.0,117886.0,155905.0,1200396.0,8525.0,11981.0,5139.0,6742.0,12244.0,3214.0,10457.0,6639.0,25625.0,7428.0,7216.0,8247.0,5445.0,5778.0,8867.0,3776.0,7774.0,9101.0,12884.0,8618.0,10.0,1.0,433.0,1340.0,0.0,576.0,1995.0,578.0,705.0,540.0,862.0,428.0,8.0,16.0,4.0,5.0,7.0,8.0,6.0,13.0,8.0,4.0,200.0,8359.0,10959.0,6647.0,6353.0,9826.0,4568.0,9329.0,9070.0,9272.0,8708.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,37,13,20,30,70,125,13,37,51,61,14198,21252,340,433,18080,37000,504196,523919,35864,62130,31082,46624,3582,3875,32,47,9,39,35753,47338
11,8.0,4.0,3.0,1.0,9.0,6.0,8.0,8.0,678.0,335.0,452.0,417.0,354.0,375.0,10.0,523.0,1794.0,74.0,2.0,4.0,6.0,6.0,4.0,2.0,1.0,1.0,0.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,4.0,118.0,8.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,8.0,6.0,2.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,12.0,12.0,11.0,0.0,3146.0,1192.0,7089.0,394.0,4341.0,362.0,74.0,8883.0,1925.0,124.0,25.0,10.0,139.0,139.0,4.0,169.0,20.0,129.0,79.0,5112.0,621.0,11106.0,1483.0,4461.0,505.0,10163.0,10678.0,1429.0,867.0,0.0,1.0,74952.0,72097.0,103926.0,21575.0,53857.0,39407.0,207699.0,204350.0,52716.0,22558.0,1200270.0,5208.0,4441.0,12814.0,9320.0,5247.0,5552.0,10981.0,11402.0,10624.0,2792.0,6768.0,5380.0,7877.0,6627.0,6929.0,4660.0,7660.0,8788.0,9284.0,5669.0,10.0,1.0,96.0,674.0,515.0,748.0,391.0,706.0,456.0,650.0,312.0,0.0,8.0,20.0,5.0,8.0,15.0,26.0,9.0,6.0,14.0,9.0,200.0,8313.0,5059.0,7994.0,8046.0,6803.0,4234.0,10686.0,9773.0,9325.0,7799.0,4.0,0.0,1.0,4.0,0.0,5.0,1.0,2.0,8.0,0.0,1.0,0.0,20,11,30,30,124,130,11,20,51,57,13016,14390,416,422,22667,23758,293717,559420,38141,40240,32861,36781,2456,2092,62,58,21,38,35390,42642
12,4.0,5.0,4.0,4.0,7.0,3.0,2.0,3.0,1166.0,361.0,447.0,497.0,868.0,287.0,143.0,133.0,1244.0,537.0,0.0,5.0,3.0,6.0,2.0,1.0,3.0,4.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,124.0,0.0,0.0,0.0,0.0,112.0,28.0,0.0,5.0,1.0,3.0,3.0,3.0,1.0,2.0,7.0,1.0,13.0,9.0,11.0,12.0,11.0,9.0,12.0,11.0,14.0,11.0,7492.0,2052.0,675.0,8705.0,0.0,2491.0,4361.0,143.0,1797.0,7171.0,168.0,36.0,4.0,106.0,176.0,29.0,168.0,14.0,183.0,133.0,5162.0,1436.0,2671.0,695.0,6915.0,1312.0,2274.0,2181.0,11920.0,981.0,1.0,1.0,682250.0,40240.0,458127.0,172271.0,16979.0,42378.0,269243.0,279202.0,0.0,129114.0,1200346.0,12654.0,3643.0,3410.0,9400.0,7016.0,4108.0,6635.0,2413.0,14335.0,8371.0,8026.0,5246.0,6997.0,6537.0,7868.0,5462.0,7668.0,7056.0,11419.0,6662.0,8.0,1.0,0.0,154.0,64.0,0.0,100.0,304.0,0.0,88.0,618.0,219.0,16.0,14.0,15.0,2.0,11.0,30.0,10.0,5.0,12.0,8.0,200.0,11157.0,5936.0,8202.0,8758.0,8515.0,5988.0,9614.0,7809.0,12432.0,7454.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,12,16,30,30,128,140,16,12,56,57,19363,15524,483,534,16755,18792,1372005,717799,36588,35397,34890,38051,468,1079,74,49,21,13,42620,43245
