,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,baron_team100,deathsplayer_6,dragon_team100,inhibs_lost_team200,riftherald_team200,riftherald_team300,ward_player_0,killsplayer_5,killsplayer_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,2.0,15.0,4.0,2.0,1.0,8.0,3.0,5.0,5.0,6.0,1.0,476.0,154.0,577.0,816.0,996.0,571.0,901.0,37.0,808.0,412.0,5.0,2.0,5.0,4.0,7.0,7.0,6.0,3.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,77.0,4.0,4.0,0.0,20.0,124.0,9.0,12.0,1.0,2.0,3.0,2.0,7.0,2.0,9.0,3.0,12.0,11.0,10.0,11.0,13.0,11.0,10.0,14.0,13.0,12.0,12.0,84.0,3483.0,7832.0,777.0,3188.0,2265.0,1157.0,0.0,3111.0,1098.0,125.0,23.0,13.0,167.0,138.0,0.0,167.0,27.0,125.0,163.0,3565.0,595.0,790.0,6447.0,4117.0,728.0,3319.0,11038.0,1265.0,15207.0,1.0,71229.0,135294.0,151734.0,112757.0,271555.0,19968.0,133385.0,127048.0,111884.0,17520.0,1200394.0,4239.0,4352.0,9061.0,7916.0,9919.0,2994.0,5012.0,12058.0,4377.0,16330.0,6079.0,6254.0,6812.0,7976.0,9576.0,4461.0,8640.0,9352.0,7883.0,12577.0,9.0,1.0,588.0,274.0,437.0,692.0,2614.0,0.0,535.0,1020.0,0.0,24.0,8.0,28.0,1.0,10.0,7.0,10.0,9.0,14.0,6.0,6.0,200.0,7953.0,6862.0,8076.0,10088.0,7528.0,6820.0,11559.0,11046.0,9571.0,9657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,13,30,30,85,166,13,28,56,61,14146,8849,443,505,15647,31424,627243,525131,34129,42129,34904,44706,4331,1853,36,63,17,34,40465,48695
1,1.0,2.0,4.0,2.0,4.0,5.0,10.0,8.0,3.0,4.0,1.0,475.0,1307.0,364.0,613.0,862.0,280.0,105.0,1940.0,966.0,328.0,6.0,1.0,6.0,6.0,2.0,5.0,2.0,5.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,108.0,0.0,0.0,4.0,17.0,103.0,0.0,2.0,1.0,4.0,2.0,10.0,1.0,5.0,6.0,5.0,5.0,11.0,10.0,11.0,12.0,11.0,9.0,12.0,12.0,11.0,11.0,6851.0,7057.0,3774.0,503.0,654.0,1701.0,1811.0,927.0,9013.0,612.0,121.0,27.0,5.0,110.0,146.0,26.0,109.0,16.0,77.0,135.0,2835.0,534.0,1091.0,18708.0,4759.0,300.0,10614.0,10926.0,1299.0,8205.0,0.0,635707.0,11737.0,304491.0,149303.0,115978.0,24017.0,293925.0,251480.0,27111.0,792.0,1200302.0,10057.0,7910.0,5621.0,20141.0,5414.0,2002.0,15171.0,12102.0,11100.0,8817.0,6695.0,6541.0,6449.0,10748.0,6662.0,4505.0,9055.0,8650.0,6616.0,7818.0,6.0,8.0,371.0,318.0,756.0,929.0,0.0,0.0,2745.0,248.0,787.0,0.0,3.0,32.0,9.0,12.0,83.0,29.0,16.0,6.0,10.0,9.0,100.0,8199.0,6353.0,7569.0,9660.0,7302.0,5698.0,9858.0,9912.0,8569.0,7592.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,25,14,30,30,116,122,14,25,54,56,13483,19420,408,364,27693,31578,1229496,585045,43235,55100,35059,38680,2056,4098,136,73,16,27,38428,42284
2,11.0,7.0,3.0,5.0,3.0,11.0,3.0,4.0,6.0,2.0,0.0,1142.0,388.0,920.0,488.0,678.0,721.0,328.0,455.0,293.0,1034.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,4.0,0.0,4.0,112.0,0.0,4.0,3.0,1.0,5.0,1.0,9.0,3.0,3.0,1.0,3.0,12.0,9.0,12.0,12.0,11.0,10.0,12.0,11.0,12.0,10.0,3946.0,4968.0,511.0,1291.0,3914.0,1533.0,953.0,381.0,11420.0,3364.0,104.0,4.0,14.0,121.0,163.0,27.0,159.0,10.0,146.0,155.0,3692.0,786.0,7179.0,5630.0,8390.0,1300.0,11521.0,5177.0,502.0,7386.0,0.0,166830.0,42116.0,213434.0,44404.0,0.0,33804.0,287109.0,196995.0,201176.0,825.0,1200358.0,7947.0,5754.0,7978.0,7667.0,13813.0,3269.0,12475.0,5983.0,12502.0,10750.0,6842.0,4988.0,8010.0,6241.0,10068.0,5096.0,8273.0,7295.0,6893.0,7174.0,2.0,7.0,307.0,0.0,288.0,746.0,1508.0,436.0,0.0,424.0,579.0,0.0,112.0,30.0,56.0,9.0,11.0,31.0,11.0,5.0,9.0,7.0,100.0,9716.0,5718.0,9816.0,8868.0,8108.0,6212.0,9316.0,7844.0,9329.0,6792.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,11,18,30,30,128,120,18,11,57,54,11195,21086,429,474,26191,25372,458472,728221,40674,47464,36257,34623,3285,1003,219,62,33,22,42720,38999
3,1.0,2.0,5.0,2.0,4.0,5.0,2.0,3.0,1.0,2.0,0.0,752.0,625.0,126.0,842.0,1088.0,48.0,432.0,121.0,595.0,322.0,5.0,4.0,2.0,0.0,1.0,3.0,0.0,5.0,4.0,0.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,156.0,8.0,0.0,0.0,8.0,112.0,0.0,3.0,4.0,0.0,0.0,9.0,4.0,5.0,2.0,1.0,3.0,12.0,9.0,13.0,14.0,11.0,10.0,13.0,12.0,11.0,10.0,1689.0,2370.0,214.0,11707.0,264.0,2102.0,11175.0,0.0,2124.0,756.0,127.0,12.0,19.0,185.0,180.0,38.0,145.0,44.0,134.0,127.0,6121.0,473.0,3632.0,1344.0,5354.0,493.0,826.0,3163.0,1532.0,5713.0,0.0,91508.0,169124.0,262935.0,93563.0,48109.0,65494.0,109666.0,217303.0,65374.0,46355.0,1200323.0,9042.0,2843.0,4017.0,13052.0,5618.0,2595.0,12793.0,3514.0,4244.0,6470.0,7077.0,4150.0,7416.0,10912.0,8663.0,5078.0,8372.0,7636.0,6200.0,7372.0,1.0,4.0,1231.0,0.0,170.0,0.0,0.0,0.0,792.0,351.0,588.0,0.0,5.0,19.0,34.0,8.0,22.0,24.0,8.0,4.0,12.0,9.0,100.0,9623.0,5319.0,10515.0,11715.0,8392.0,6151.0,11342.0,9351.0,8007.0,6902.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,11,18,30,30,168,123,18,11,60,55,15976,16425,549,462,16944,11707,561609,607822,34324,29864,39146,33730,1401,1731,93,52,17,10,46396,40921
4,3.0,5.0,7.0,5.0,5.0,11.0,0.0,4.0,3.0,0.0,0.0,451.0,459.0,2404.0,1586.0,140.0,1056.0,95.0,704.0,330.0,126.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,0.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,4.0,0.0,0.0,4.0,116.0,0.0,0.0,4.0,0.0,8.0,3.0,2.0,5.0,1.0,2.0,5.0,12.0,9.0,13.0,12.0,10.0,10.0,12.0,12.0,10.0,13.0,6190.0,2685.0,635.0,10603.0,2563.0,4273.0,3737.0,5492.0,876.0,0.0,110.0,24.0,31.0,150.0,105.0,15.0,121.0,22.0,147.0,150.0,3922.0,1319.0,13779.0,1764.0,6403.0,1196.0,7590.0,98.0,6383.0,7134.0,0.0,207466.0,122011.0,413045.0,41132.0,0.0,59865.0,65521.0,229416.0,49891.0,130245.0,1200391.0,11454.0,4391.0,15555.0,12380.0,8967.0,5668.0,11959.0,6942.0,7259.0,10499.0,6771.0,4909.0,10379.0,7306.0,5815.0,5656.0,7980.0,7519.0,7555.0,7766.0,4.0,3.0,1341.0,386.0,1140.0,12.0,0.0,198.0,630.0,1351.0,0.0,3364.0,125.0,33.0,3.0,4.0,10.0,29.0,8.0,3.0,12.0,8.0,100.0,9312.0,5157.0,10690.0,9588.0,6344.0,7042.0,9356.0,8771.0,6693.0,11262.0,1.0,6.0,4.0,1.0,2.0,0.0,11.0,2.0,0.0,13,19,30,30,137,120,19,13,57,56,24264,12790,411,464,27064,22524,721508,597084,54024,41050,35927,35729,2691,5731,171,64,31,12,42976,41239
5,0.0,11.0,3.0,1.0,3.0,5.0,1.0,10.0,7.0,5.0,0.0,1161.0,788.0,668.0,183.0,582.0,209.0,568.0,1280.0,427.0,1329.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,108.0,4.0,0.0,2.0,0.0,6.0,4.0,3.0,6.0,4.0,4.0,3.0,12.0,9.0,11.0,11.0,12.0,10.0,12.0,11.0,12.0,11.0,238.0,3081.0,0.0,3607.0,55.0,1648.0,0.0,791.0,7468.0,0.0,142.0,29.0,8.0,126.0,185.0,5.0,140.0,4.0,144.0,152.0,3380.0,43.0,8130.0,871.0,8520.0,528.0,7779.0,6398.0,1125.0,5575.0,1.0,34912.0,26429.0,245238.0,22196.0,40775.0,53338.0,76080.0,84956.0,157270.0,14238.0,1200474.0,4045.0,3540.0,10737.0,6306.0,9307.0,2176.0,8496.0,8080.0,8593.0,5635.0,6461.0,4678.0,8643.0,6638.0,8827.0,5284.0,8468.0,7845.0,7992.0,6989.0,2.0,11.0,425.0,416.0,2606.0,1827.0,731.0,0.0,717.0,890.0,0.0,60.0,5.0,43.0,5.0,14.0,14.0,30.0,12.0,7.0,7.0,16.0,100.0,9035.0,5958.0,8493.0,8334.0,8580.0,6446.0,9480.0,8358.0,9039.0,8142.0,2.0,5.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,17,16,30,30,116,112,16,17,56,55,5548,11340,466,469,21429,20920,396459,358973,32571,34344,35853,35972,5589,2083,68,85,12,34,40888,40977
6,7.0,4.0,5.0,4.0,5.0,14.0,3.0,6.0,6.0,2.0,1.0,169.0,259.0,1394.0,1283.0,1569.0,300.0,1080.0,316.0,442.0,213.0,1.0,6.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,3.0,0.0,12.0,107.0,0.0,0.0,3.0,0.0,11.0,2.0,5.0,6.0,2.0,3.0,3.0,12.0,8.0,11.0,12.0,11.0,9.0,11.0,10.0,12.0,10.0,1184.0,2380.0,1179.0,6301.0,1719.0,2856.0,198.0,3467.0,15914.0,1003.0,103.0,10.0,13.0,123.0,138.0,3.0,100.0,6.0,153.0,127.0,4594.0,419.0,12617.0,83.0,10374.0,836.0,9315.0,3706.0,659.0,8219.0,1.0,315524.0,65621.0,135378.0,207492.0,82595.0,125737.0,123321.0,289796.0,146275.0,68249.0,1200325.0,5778.0,3070.0,14409.0,6384.0,12235.0,4442.0,10264.0,8094.0,16574.0,9272.0,6969.0,4484.0,9893.0,6333.0,7894.0,5500.0,8395.0,6681.0,7542.0,6763.0,9.0,4.0,0.0,269.0,612.0,0.0,141.0,750.0,750.0,920.0,0.0,50.0,15.0,47.0,2.0,14.0,18.0,34.0,8.0,5.0,11.0,67.0,200.0,8846.0,4560.0,8479.0,8699.0,7760.0,5731.0,8100.0,7162.0,9213.0,6883.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,14,22,30,30,103,119,22,14,55,51,13239,22962,380,396,28504,22318,866726,693262,43248,47274,36589,33865,1503,1989,83,138,35,21,39515,35918
7,1.0,12.0,7.0,3.0,3.0,4.0,0.0,7.0,2.0,3.0,0.0,439.0,650.0,103.0,564.0,206.0,352.0,930.0,444.0,782.0,1278.0,1.0,2.0,3.0,7.0,6.0,5.0,2.0,2.0,3.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,0.0,0.0,0.0,8.0,131.0,4.0,4.0,8.0,0.0,5.0,1.0,1.0,2.0,2.0,12.0,6.0,13.0,11.0,11.0,11.0,10.0,10.0,12.0,13.0,14.0,11.0,992.0,5923.0,9553.0,6910.0,1233.0,3441.0,856.0,5378.0,16375.0,156.0,148.0,14.0,37.0,131.0,139.0,13.0,137.0,25.0,160.0,160.0,8373.0,854.0,1379.0,367.0,5515.0,601.0,7392.0,654.0,1415.0,11918.0,1.0,148742.0,103234.0,288361.0,68769.0,192008.0,27723.0,65746.0,594210.0,200536.0,39227.0,1200374.0,12422.0,7087.0,11650.0,7471.0,6749.0,4042.0,12116.0,6562.0,18175.0,14172.0,9329.0,5875.0,8043.0,6104.0,6231.0,4302.0,8095.0,8309.0,10692.0,8693.0,8.0,1.0,3057.0,309.0,716.0,193.0,0.0,0.0,3868.0,529.0,384.0,2097.0,6.0,20.0,11.0,6.0,6.0,11.0,7.0,4.0,7.0,7.0,200.0,10509.0,7664.0,8067.0,8518.0,7048.0,6207.0,9343.0,10155.0,11789.0,7993.0,0.0,6.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,22,15,30,30,66,147,15,22,55,61,22129,28688,468,496,16235,22233,725603,1002953,42334,58112,34009,41664,3966,7187,40,45,18,24,40349,46944
8,1.0,10.0,8.0,4.0,8.0,3.0,2.0,7.0,0.0,6.0,0.0,557.0,684.0,1084.0,1089.0,282.0,482.0,1110.0,624.0,245.0,779.0,4.0,1.0,5.0,1.0,4.0,8.0,3.0,5.0,3.0,2.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,82.0,1.0,0.0,4.0,20.0,106.0,0.0,17.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,7.0,11.0,11.0,11.0,12.0,10.0,9.0,13.0,12.0,11.0,11.0,7799.0,2814.0,682.0,5402.0,0.0,6257.0,3862.0,0.0,3705.0,0.0,117.0,34.0,23.0,138.0,102.0,20.0,162.0,38.0,124.0,156.0,232.0,1666.0,7561.0,1185.0,6930.0,437.0,1583.0,7236.0,227.0,9031.0,0.0,243490.0,58755.0,328180.0,29461.0,25036.0,100876.0,118866.0,140336.0,9941.0,80185.0,1200354.0,8032.0,4913.0,8999.0,8814.0,7259.0,6999.0,8320.0,7639.0,4280.0,9031.0,6587.0,6608.0,7674.0,7139.0,7332.0,5552.0,9410.0,8684.0,6285.0,10904.0,9.0,0.0,0.0,433.0,755.0,2227.0,328.0,304.0,2873.0,403.0,347.0,0.0,8.0,21.0,4.0,9.0,6.0,186.0,4.0,4.0,7.0,9.0,200.0,8559.0,7460.0,8309.0,9494.0,7127.0,5622.0,10362.0,9755.0,8129.0,7749.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,22,15,30,30,91,143,15,22,53,58,20140,10381,400,514,16345,19743,727043,408083,40103,34183,34284,41891,3614,4056,213,45,24,25,39111,43455
9,1.0,7.0,3.0,1.0,5.0,5.0,3.0,1.0,2.0,2.0,0.0,383.0,283.0,97.0,675.0,587.0,196.0,642.0,956.0,974.0,1003.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,0.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,16.0,4.0,0.0,0.0,91.0,0.0,0.0,2.0,0.0,1.0,8.0,4.0,2.0,4.0,5.0,3.0,11.0,10.0,11.0,15.0,12.0,10.0,13.0,11.0,11.0,11.0,11905.0,2784.0,2196.0,611.0,1162.0,4285.0,509.0,6721.0,0.0,0.0,121.0,32.0,20.0,172.0,153.0,11.0,131.0,25.0,81.0,159.0,1077.0,1116.0,1292.0,19065.0,8116.0,721.0,9463.0,896.0,5518.0,7796.0,2.0,42741.0,59563.0,232014.0,246736.0,10772.0,86910.0,137218.0,102992.0,101821.0,46279.0,1200324.0,13680.0,4188.0,3779.0,21105.0,9729.0,5411.0,12995.0,8123.0,6170.0,7796.0,6933.0,4638.0,7437.0,11434.0,9087.0,7621.0,6892.0,7146.0,7389.0,7683.0,0.0,10.0,698.0,288.0,290.0,1429.0,451.0,404.0,3022.0,506.0,652.0,0.0,5.0,16.0,3.0,10.0,22.0,35.0,3.0,32.0,6.0,7.0,100.0,8559.0,6398.0,8442.0,13031.0,8866.0,6707.0,9970.0,8486.0,7637.0,8424.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,14,20,30,30,143,91,20,14,59,56,20159,10014,477,428,30271,24789,619173,447873,53704,39272,42512,33748,3272,4468,75,64,15,15,45605,40915
10,2.0,10.0,12.0,7.0,4.0,11.0,0.0,5.0,2.0,8.0,0.0,169.0,275.0,293.0,430.0,200.0,701.0,879.0,487.0,972.0,1097.0,1.0,5.0,3.0,3.0,6.0,7.0,6.0,12.0,8.0,0.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,106.0,12.0,0.0,0.0,0.0,80.0,0.0,8.0,8.0,3.0,3.0,8.0,10.0,2.0,6.0,4.0,5.0,14.0,10.0,12.0,13.0,12.0,10.0,12.0,11.0,10.0,11.0,617.0,10853.0,908.0,12131.0,831.0,3813.0,526.0,1935.0,14447.0,484.0,161.0,50.0,11.0,147.0,144.0,28.0,149.0,22.0,94.0,114.0,10662.0,618.0,6470.0,0.0,14114.0,2400.0,7567.0,7732.0,1200.0,11094.0,2.0,47632.0,84468.0,258010.0,179242.0,91559.0,140399.0,93738.0,310348.0,580067.0,42478.0,1200369.0,11308.0,11761.0,7742.0,12597.0,15071.0,7338.0,9897.0,10162.0,15647.0,11666.0,11113.0,6625.0,8543.0,10614.0,10389.0,7026.0,6669.0,7952.0,6752.0,9276.0,1.0,9.0,28.0,290.0,364.0,466.0,126.0,1125.0,1803.0,494.0,0.0,88.0,7.0,12.0,3.0,6.0,10.0,14.0,5.0,9.0,4.0,5.0,100.0,11556.0,7231.0,9057.0,10988.0,8699.0,7033.0,9493.0,8061.0,6643.0,7863.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,20,34,30,30,140,88,34,20,61,54,18300,28245,491,429,33646,28211,716842,1111099,54056,59133,47685,37274,2109,2675,40,35,36,25,47333,39291
11,2.0,7.0,8.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,0.0,404.0,731.0,535.0,70.0,840.0,826.0,208.0,966.0,166.0,1090.0,3.0,2.0,3.0,7.0,4.0,6.0,0.0,3.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,60.0,4.0,4.0,0.0,1.0,160.0,4.0,0.0,4.0,3.0,0.0,3.0,1.0,4.0,7.0,6.0,3.0,12.0,9.0,10.0,12.0,10.0,9.0,13.0,14.0,11.0,12.0,1227.0,2539.0,3106.0,2799.0,73.0,3728.0,2174.0,1594.0,12094.0,3882.0,137.0,42.0,17.0,138.0,141.0,8.0,181.0,8.0,119.0,177.0,6008.0,1845.0,1635.0,8865.0,5721.0,1199.0,7037.0,8174.0,726.0,7269.0,0.0,157080.0,211324.0,173497.0,120531.0,113542.0,15986.0,47761.0,543497.0,185517.0,0.0,1200286.0,9659.0,4625.0,5329.0,12990.0,5794.0,5446.0,9211.0,10339.0,13300.0,11151.0,7674.0,6451.0,5305.0,7100.0,6490.0,4751.0,9333.0,10881.0,7961.0,8890.0,9.0,0.0,2423.0,240.0,587.0,1325.0,0.0,518.0,0.0,571.0,480.0,0.0,5.0,17.0,23.0,5.0,33.0,14.0,8.0,9.0,5.0,3.0,200.0,8729.0,5967.0,7057.0,9023.0,6885.0,5714.0,10091.0,11814.0,8401.0,9005.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,23,10,30,30,72,165,10,23,53,59,10933,22283,441,527,23428,25051,580636,988099,39218,48626,31320,43516,4853,1291,80,42,16,17,37408,45278
12,5.0,2.0,0.0,8.0,6.0,11.0,6.0,3.0,3.0,1.0,0.0,568.0,366.0,360.0,223.0,749.0,676.0,281.0,542.0,231.0,497.0,2.0,6.0,4.0,2.0,5.0,1.0,3.0,4.0,7.0,0.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,15.0,19.0,0.0,0.0,5.0,68.0,1.0,0.0,4.0,1.0,6.0,6.0,3.0,2.0,6.0,3.0,2.0,10.0,9.0,12.0,11.0,11.0,11.0,12.0,11.0,13.0,10.0,2571.0,2658.0,0.0,5282.0,7723.0,17184.0,540.0,4409.0,2039.0,0.0,17.0,40.0,123.0,134.0,102.0,40.0,95.0,15.0,133.0,120.0,1553.0,451.0,9000.0,10723.0,2407.0,899.0,7549.0,1116.0,6534.0,4933.0,1.0,464426.0,28440.0,134126.0,75826.0,71678.0,135095.0,46002.0,173507.0,129117.0,6810.0,1200337.0,4721.0,3376.0,10463.0,16005.0,13500.0,18084.0,8597.0,6915.0,8584.0,5038.0,7543.0,5041.0,9693.0,9878.0,6954.0,7946.0,6306.0,7427.0,8386.0,5897.0,3.0,11.0,596.0,267.0,1463.0,0.0,3369.0,0.0,508.0,1388.0,11.0,105.0,0.0,21.0,7.0,9.0,9.0,24.0,5.0,8.0,8.0,15.0,100.0,6713.0,5587.0,9788.0,8163.0,8003.0,7747.0,8666.0,7780.0,10115.0,6304.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,14,25,30,30,117,74,25,14,55,55,32760,9646,416,403,24582,20583,881151,383876,62773,32510,42014,33057,5428,2279,49,57,30,15,40414,38452
